lokasi,harga,kamar_tidur,kamar_mandi,luas_bangunan,rumah_luas_lahan,keamanan24jam,taman,lahan_parkir,balcony,AC
cimanggis,580000000,2.0,1.0,36.0,60.0,no,no,1.0,no,no
cilodong,611000000,2.0,2.0,48.0,45.0,yes,yes,1.0,no,no
depok,853000000,2.0,1.0,45.0,84.0,no,yes,1.0,no,no
bojongsari,453000000,2.0,1.0,36.0,75.0,no,no,1.0,no,no
sawangan,780000000,2.0,1.0,42.0,72.0,yes,yes,1.0,no,no
cimanggis,2040000000,3.0,2.0,121.0,130.0,yes,yes,1.0,yes,no
cipayung,372700000,2.0,1.0,36.0,84.0,no,no,1.0,no,no
cilodong,742000000,3.0,2.0,60.0,53.0,yes,yes,2.0,yes,yes
sawangan,487500000,3.0,2.0,44.0,57.0,no,no,1.0,no,no
cinere,1080000000,3.0,2.0,160.0,165.0,yes,yes,1.0,no,no
bojongsari,655000000,2.0,1.0,40.0,75.0,no,yes,1.0,no,no
cilodong,780000000,3.0,1.0,68.0,98.0,yes,yes,1.0,no,no
cipayung,1380000000,3.0,2.0,150.0,105.0,yes,yes,1.0,no,no
cimanggis,899000000,3.0,3.0,100.0,77.0,no,no,2.0,no,no
pancoran mas,2280000000,3.0,4.0,200.0,180.0,yes,yes,1.0,yes,no
sawangan,710000000,2.0,1.0,60.0,86.0,yes,yes,1.0,no,no
pancoran mas,1660000000,3.0,3.0,140.0,113.0,yes,yes,1.0,yes,no
bojongsari,870000000,3.0,1.0,140.0,131.0,yes,no,1.0,no,no
bojongsari,530000000,2.0,1.0,36.0,70.0,yes,yes,1.0,no,no
pancoran mas,660000000,2.0,1.0,50.0,69.0,yes,yes,1.0,no,no
cipayung,371240000,2.0,1.0,27.0,75.0,yes,yes,2.0,no,no
limo,2040000000,2.0,2.0,150.0,113.0,yes,no,1.0,no,no
bojongsari,1020000000,3.0,2.0,95.0,164.0,yes,yes,1.0,no,no
cilodong,1380000000,3.0,2.0,90.0,72.0,yes,yes,1.0,yes,no
pancoran mas,900000000,2.0,2.0,45.0,90.0,yes,yes,1.0,no,no
sawangan,625000000,2.0,1.0,39.0,83.0,yes,yes,1.0,no,no
cinere,999000000,3.0,3.0,75.0,96.0,yes,yes,1.0,no,no
cinere,930000000,2.0,2.0,55.0,91.0,yes,yes,1.0,no,no
sawangan,1320000000,3.0,2.0,160.0,90.0,yes,yes,1.0,yes,no
tapos,1020000000,3.0,2.0,140.0,120.0,yes,yes,1.0,no,no
bojongsari,500000000,2.0,1.0,36.0,68.0,yes,yes,1.0,no,no
pancoran mas,1200000000,3.0,3.0,100.0,120.0,yes,yes,1.0,no,no
depok,1050000000,5.0,2.0,154.0,83.0,yes,yes,1.0,yes,no
