categories,subcategories,bedrooms,bathrooms,building_size,land_size,num_floors,furnished,geo_point,page_url,parent_url,ac_unit,balcony,yard,security,pool,price
house,"[""house"",""single-family-house""]",4,2,200.0,1115.0,,,"[106.81139,-6.38417]",https://www.lamudi.co.id/rumah-second-tanah-luas-1115m2-dekat-tol-kukusan-b-170347388618.html,https://www.lamudi.co.id/west-java/depok/beji-3/house/buy/,,,yes,,,7805000000
house,"[""house"",""townhouse""]",2,2,70.0,65.0,,,"[106.77444,-6.40278]",https://www.lamudi.co.id/rumah-syariah-murah-di-pinggir-jalan-raya-permata-169579302118.html,https://www.lamudi.co.id/west-java/depok/sawangan-1/house/buy/,,,yes,yes,,720000000
house,"[""house"",""single-family-house""]",3,2,80.0,131.0,1.0,,"[106.84333,-6.42694]",https://www.lamudi.co.id/rumah-murah-di-gdc-cluster-puri-insani-1-kalimulya-170372834840.html,https://www.lamudi.co.id/west-java/depok/cilodong/house/buy/,,,yes,yes,,850000000
house,"[""house"",""townhouse""]",3,1,52.0,70.0,,,"[106.8118296,-6.4452406]",https://www.lamudi.co.id/rumah-3-kamar-tidur-2-lantai-termurah-dekat-ke-sta-169693741318.html,https://www.lamudi.co.id/west-java/depok/citayam/house/buy/,yes,yes,yes,yes,,400000000
house,"[""house"",""single-family-house""]",2,1,36.0,78.0,,,"[106.8929,-6.40092]",https://www.lamudi.co.id/perumahan-dp-50jt-cicilan-mulai-4jtan-di-cimanggis-17092790459.html,https://www.lamudi.co.id/west-java/depok/beji-3/house/buy/,,,yes,,,688888888
house,"[""house"",""single-family-house""]",2,1,45.0,80.0,,,"[106.808195,-6.394443]",https://www.lamudi.co.id/jual-rumah-murah-dekat-stasiun-depok-cicilan-3-5ju-169657795653.html,https://www.lamudi.co.id/west-java/depok/pancoran-mas/house/buy/,,,,,,660000000
house,"[""house"",""single-family-house""]",4,2,192.0,96.0,2.0,,"[106.80337,-6.37566]",https://www.lamudi.co.id/jual-cepat-rumah-siap-huni-di-alam-persada-beji-de-170550435850.html,https://www.lamudi.co.id/west-java/depok/beji-3/house/buy/,,yes,yes,yes,,1610000000
house,"[""house"",""single-family-house""]",3,3,78.0,70.0,,,"[106.77444,-6.40278]",https://www.lamudi.co.id/rumah-mewah-di-sawangan-170599294360.html,https://www.lamudi.co.id/west-java/depok/sawangan-1/house/buy/,yes,,,,,900000000
house,"[""house"",""single-family-house""]",2,1,50.0,82.0,,,"[106.775358,-6.430081]",https://www.lamudi.co.id/jual-rumah-full-furnished-dekat-cipayung-depok-beb-170848823212.html,https://www.lamudi.co.id/west-java/depok/cipayung-2/house/buy/,,,yes,yes,,660000000
house,"[""house"",""single-family-house""]",4,3,96.0,96.0,,,"[106.808195,-6.394443]",https://www.lamudi.co.id/rumah-murah-2-lantai-komp-taman-siliwangi-depok-170565972586.html,https://www.lamudi.co.id/west-java/depok/pancoran-mas/house/buy/,,,,,,1100000000
