rumah_url,rumah_nama,rumah_lokasi,rumah_harga,rumah_luas_lahan,rumah_lahan_parkir,rumah_kamar_tidur,rumah_kamar_mandi,rumah_luas_bangunan,rumah_AC,rumah_taman,rumah_keamanan,rumah_kolam_renang,rumah_balcony,rumah_jumlah_lantai,rumah_fully_furnished
https://www.lamudi.co.id/dijual-rumah-cantik-bekas-tk-hanya-90m-dari-raya-g-166006484434.html,DIJUAL RUMAH CANTIK BEKAS TK HANYA 90M DARI RAYA GANDUL CINERE,"Raya Gandul Cinere, Depok",Rp 1.700.000.000,192,1,3,2,150,yes,yes,,,,,
https://www.lamudi.co.id/rumah-bagus-dan-terawat-dgn-tanah-yang-luas-jl-bel-166632691733.html,RRumah Bagus dan Terawat Dgn Tanah yang Luas Jl.Belibis Beji Depok,"Beji, Depok",Rp 4.950.000.000,500,,4,4,500,,,,,,,
https://www.lamudi.co.id/op94-hunian-cantik-strategis-dkt-ke-lebak-bulus-da-166964859037.html,Op95.Fumah Mewah Di Cireunde Dgn Luas 250 Strategis do Cireundeu,"Cireundeu Kel., Ciputat Timur, Tangerang Selatan, JABODETABEK, Indonesia Cinere, Depok",Rp 3.300.000.000,250,1,3,4,300,,,,,,,
https://www.lamudi.co.id/rumah-2-lantai-standard-jepang-anti-gempa-dinding-166988228456.html,Rumah 2 lantai standard jepang anti gempa dinding beton besi 16 ulir,"Jl. Arco Raya Sawangan DEPOK Sawangan, Depok",Rp 974.000.000,90,1,3,2,70,,yes,yes,yes,yes,,
https://www.lamudi.co.id/sisa-1-unit-rumah-ready-stock-sudah-bonus-kanopi-d-166697573427.html,sisa 1 unit rumah ready stock sudah bonus kanopi di tirtajaya dekat stasiun,"jalan katim palaza Tirtajaya, Depok",Rp 550.000.000,80,1,2,1,50,,yes,yes,,,,
https://www.lamudi.co.id/461-rumah-siap-huni-ready-stock-mezaninen-dp-0-fre-166609716162.html,461.Rumah Siap Huni Ready Stock Mezaninen Dp 0% Free biaya Strategis,"Kalibaru Cilodong Depok Kalibaru, Depok",Rp 675.000.000,60,2,2,1,46,,,,,,,
https://www.lamudi.co.id/dijual-rumah-induk-2-kontrakan-ruko-2-lantai-di-juanda-beji-depok-1.html,Dijual Rumah induk 2 Kontrakan & Ruko 2 Lantai di Juanda Beji Depok,"Jl Juanda Beji Margonda Depok Beji Timur, Depok",Rp 4.000.000.000,487,5,7,3,450,,yes,,,yes,,
https://www.lamudi.co.id/rumah-2-lantai-dekat-pintu-toll-desari-rangkapanja-165901257452.html,RUMAH 2 LANTAI DEKAT PINTU TOLL DESARI RANGKAPANJAYA DEPOK,"jl duren Rangkapan Jaya Baru, Depok",Rp 1.410.000.000,93,2,5,4,130,,yes,yes,,yes,,
https://www.lamudi.co.id/rumah-baru-ready-kpr-pribadi-200-jutaan-di-depok-166799472146.html,Rumah Baru Siap Huni KPR PRIBADI 200 Juta-an Di Depok,"jl. jembatan lo, cipayung depok Depok, Depok",Rp 200.000.000,72,1,2,1,45,,yes,,,,,
https://www.lamudi.co.id/cluster-mewah-modern-minimalis-hrg-mulai-800jutaan-free-biaya2-all-in.html,Cluster mewah modern minimalis hrg mulai 800jutaan free biaya2 all in,"Tapos Depok Tapos, Depok",Rp 950.000.000,61,1,3,2,75,,,,,,,
