"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_AC","rumah_keamanan","rumah_lahan_parkir","rumah_kolam_renang","rumah_taman","rumah_balcony","rumah_jumlah_lantai","rumah_fully_furnished"
"https://www.lamudi.co.id/dijual-rumah-villa-bougenville-blok-f4-no-5-tugu-c-166615134478.html","Dijual Rumah Villa Bougenville Cimanggis, Depok","Cimanggis, Depok","Rp 2.000.000.000","5","4","220","116","yes","yes","","","","","",""
"https://www.lamudi.co.id/ad-new-cluster-2-lt-belakang-kampus-gunadarma-kela-167223672073.html","Ad.New Cluster 2 Lt Belakang Kampus Gunadarma Kelapa Dua Depok","kelapa dua depok Kelapa Dua, Depok","Rp 975.000.000","3","2","74","70","","","1","","","","",""
"https://www.lamudi.co.id/br891-rumah-dijual-lingkungan-cluster-lokasi-sukma-16659959742.html","BR891 Rumah dijual lingkungan cluster lokasi sukmajaya depok","Sukmajaya depok jawa barat Sukmajaya, Depok","Rp 1.665.000.000","4","4","140","114","","","1","","","","",""
"https://www.lamudi.co.id/br948-perumahan-grand-depok-city-cluster-anggrek-166599273492.html","BR948 Perumahan Grand Depok City Cluster Anggrek","Cluster Anggrek Perumahan Grand Depok City Sukmajaya, Depok","Rp 880.000.000","2","1","36","90","","","1","","","","",""
"https://www.lamudi.co.id/32-di-cluster-amirilis-rumah-mewah-di-bogor-166686043242.html","32 di cluster amirilis rumah mewah di bogor","Pengasinan, Depok","Rp 348.000.000","2","1","36","72","yes","yes","","yes","yes","","",""
"https://www.lamudi.co.id/rumah-murah-di-kota-depok-selangkah-ke-alun-alun-16680839730.html","Rumah murah di kota Depok, selangkah ke alun-alun","Kalimulya, Depok","Rp 395.000.000","2","1","36","53","yes","yes","","","yes","","",""
"https://www.lamudi.co.id/op100-rumah-second-siap-huni-tanah-luas-termurah-d-167059523897.html","Op100.Rumah Second Siap Huni Tanah Luas Termurah di Kelasnya Dlm Komp","Sawangan Depok Sawangan, Depok","Rp 580.000.000","4","2","100","175","","","1","","","","",""
"https://www.lamudi.co.id/rumah-cantik-minimalis-tanpa-dp-0-166650701558.html","rumah cantik minimalis Tanpa DP 0%","Kalibaru, Depok","Rp 685.000.000","2","2","50","82","yes","yes","","","yes","","",""
"https://www.lamudi.co.id/rumah-2-lantai-di-depok-tirtasari-cukup-boking-4-j-16634391744.html","rumah 2 lantai di depok tirtasari cukup boking 4 juta all in","jln tirtasari Sukmajaya, Depok","Rp 850.000.000","3","3","80","69","yes","yes","","yes","yes","yes","",""
"https://www.lamudi.co.id/rumah-murah-rumah-baru-kpr-dp-0-di-depok.html","Rumah Murah, Rumah Baru, KPR DP 0 di Depok","Depok, Depok","Rp 500.000.000","2","1","45","","","","","","","","",""
"https://www.lamudi.co.id/rumah-siap-huni-dijual-cepat-dikalimulya-deket-stasiun-depok-lama.html","Rumah Siap Huni Dijual Cepat Dikalimulya Deket Stasiun Depok Lama","Jalan Kalimulya Cilodong, Depok","Rp 430.000.000","2","1","60","76","","","1","","","","",""
"https://www.lamudi.co.id/rumah-murah-minimalis-modern-depok.html","Rumah Murah Minimalis Modern Depok","Jalan Meran, Cilodong, Kota Depok Cilodong, Depok","Rp 400.000.000","2","1","40","47","","","1","","","","",""
"https://www.lamudi.co.id/di-jua-rumah-siap-huni-deket-toll-pamulqng.html","Di jua rumah siap huni deket toll pamulqng","Jln raya serua pondok petir Serua, Depok","Rp 805.000.000","2","1","56","105","yes","yes","2","yes","yes","","",""
"https://www.lamudi.co.id/rumah-murah-tengah-kota-cipayung-depok-166765463366.html","Rumah murah Tengah Kota Cipayung Depok","Jalan Raya Cipayung, Depok 16441, Indonesia Cipayung, Depok","Rp 190.000.000","2","1","30","40","","","","","","","",""
"https://www.lamudi.co.id/rumah-pesona-khayangan-mewah-clasic-siap-huni-juanda-depok.html","Rumah pesona khayangan mewah clasic siap huni juanda depok","Margonda, Depok","Rp 7.700.000.000","8","6","300","488","yes","yes","4","","yes","yes","",""
"https://www.lamudi.co.id/rumah-dijual-murah-cluster-citayam-165960559830.html","Rumah dijual murah cluster citayam","Citayam, Depok","Rp 265.000.000","2","1","36","70","yes","yes","1","","yes","","1",""
"https://www.lamudi.co.id/rumah-murah-2-lantai-di-kota-depok-dekat-stasiun-dan-tol.html","Rumah Murah 2 Lantai Di Kota Depok Dekat Stasiun dan Tol","Sukmajaya, Depok","Rp 571.200.000","2","2","42","40","","","","","yes","","",""
"https://www.lamudi.co.id/rumah-dekat-terminal-pondok-cabe-minimalis-dan-terjangkau.html","Rumah Dekat Terminal Pondok Cabe Minimalis Dan Terjangkau","Jalan Komplek Bappenas Cinangka Cinangka, Depok","Rp 947.000.000","3","2","60","66","","","2","","","","2",""
