"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_fully_furnished","rumah_luas_bangunan","rumah_AC","rumah_taman","rumah_keamanan","rumah_kolam_renang","rumah_balcony","rumah_jumlah_lantai"
"https://www.lamudi.co.id/town-house-the-manzil-di-depok-free-biaya-biaya.html","Town House The Manzil di Depok Free Biaya-Biaya","Depok, Depok","Rp 525.000.000","84","84","2","1","Tidak","45","yes","yes","yes","","",""
"https://www.lamudi.co.id/rumah-dekat-tol-depok-1.html","Rumah dekat tol Depok","Jl Harapan Kemiri Muka, Depok","Rp 575.000.000","69","1","2","1","","45","yes","yes","yes","","",""
"https://www.lamudi.co.id/rumah-2-lantai-di-mulqi-mansion-9-depok-166020808964.html","Rumah 2 KT 2 KM di Mulqi Mansion, Depok","Bojongsari, Sawangan Depok Sawangan, Depok","Rp 594.000.000","60","1","3","2","","45","yes","yes","","","",""
"https://www.lamudi.co.id/termurah-rumah-depok-2lt-harga-360-juta-167007600481.html","Termurah Rumah Depok 2lt Harga 360 Juta","Kalibaru Cilodong Kota Depok Cilodong, Depok","Rp 360.000.000","40","","2","2","","40","","","","","",""
"https://www.lamudi.co.id/rumahminimalisdepok-rumahsukatani-pekauran-cicilan-4jutaan.html","#rumahminimalisDepok-rumahsukatani-pekauran- cicilan 4jutaan","jalan raya tapos Sukatani, Depok","Rp 660.000.000","68","1","2","1","","40","yes","yes","yes","yes","",""
"https://www.lamudi.co.id/rumah-strategis-nyaman-dan-asri-167003284432.html","Rumah strategis,nyaman dan asri","Kelapa Dua, Depok","Rp 1.300.000.000","108","1","4","3","","140","","","","","",""
"https://www.lamudi.co.id/rumah-konsep-scandinavian-harga-500-juta-an-harga-166972911397.html","RUMAH KONSEP SCANDINAVIAN HARGA 500 JUTA AN HARGA PERDANA DI CINANGKA","Cinangka, Depok","Rp 500.000.000","50","1","3","2","","60","","","","","",""
"https://www.lamudi.co.id/cluster-dijual-siap-huni-dekat-tol-sawangan-depok-2.html","Cluster dijual siap huni dekat tol sawangan depok","Beji, Depok","Rp 654.500.000","73","1","2","1","","45","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-siap-huni-dp-suka-suka-165950533325.html","Rumah Siap Huni DP Suka Suka.","jl bungur indah kp ciater wareng desa rawakalong Pondok Petir, Depok","Rp 430.000.000","60","","2","1","","48","","","","","",""
"https://www.lamudi.co.id/rumah-milenial-dp-0-lokasi-dekat-depok-tangsel-dek-166105143327.html","Rumah milenial.DP 0.Lokasi dekat.Depok.Tangsel. Dekat jalan provinsi.","Bojongsari, Depok","Rp 490.000.000","62","15","2","1","","42","","","","","",""
"https://www.lamudi.co.id/rumah-baru-minimalis-di-cinere-dekat-pintu-tol-dan-166021009951.html","Rumah Baru Minimalis Di Cinere Dekat Pintu Tol Dan MRT","jln Abdul Wahab Cinere, Depok","Rp 800.000.000","70","2","3","3","","78","yes","yes","yes","","yes",""
"https://www.lamudi.co.id/di-jual-cepat-rumah-2-lantai-165949876770.html","TURUN HARGA DI JUAL CEPAT RUMAH 2 LANTAI","Kukusan, Depok","Rp 700.000.000","96","","4","2","","150","","","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-desain-modern-legalitas-terjamin-di-cinangka-depok.html","rumah 2 lantai desain modern legalitas terjamin di cinangka depok","Jl. Acing, Cinangka Cinangka, Depok","Rp 805.000.000","68","","3","2","","56","","yes","yes","","yes",""
"https://www.lamudi.co.id/br906-perumahan-siap-huni-griya-melati-mas-cilodon-166599486547.html","BR906 Perumahan siap huni Griya Melati Mas Cilodong Depok","Perumahan Griya Melati Mas Cilodong Depok Cilodong, Depok","Rp 625.000.000","125","1","2","1","","45","","","","","",""
"https://www.lamudi.co.id/br-967-rumah-dijual-siap-huni-lokasi-gmm-depok-jawa-barat.html","BR 967 Rumah dijual siap huni lokasi GMM depok jawa barat,","Depok","Rp 850.000.000","96","1","3","1","","75","","yes","yes","","",""
"https://www.lamudi.co.id/rumah-buat-pasangan-muda-tinggal-nempatin-166675453397.html","Rumah buat pasangan muda,tinggal nempatin","Sukmajaya, Depok","Rp 653.000.000","87","","2","2","","60","yes","yes","yes","","",""
"https://www.lamudi.co.id/rumah-3-kamar-tidur-dekat-pintu-tol-cimanggis-166717469853.html","Rumah 3 kamar tidur dekat pintu tol Cimanggis","permata Cimanggis Cimanggis, Depok","Rp 550.000.000","72","","3","2","","65","","yes","yes","yes","",""
"https://www.lamudi.co.id/dijual-cepat-dan-murah-rumah-terawat-di-gandul-166425375684.html","Dijual cepat dan murah Rumah terawat di Gandul","Cinere, Depok","Rp 850.000.000","115","","3","1","","80","","yes","","","",""
"https://www.lamudi.co.id/rumah-subsidi-di-depok.html","rumah subsidi di depok","Depok, Depok","Rp 850.000.000","70","","3","2","","70","","","","","",""
"https://www.lamudi.co.id/rumah-scandinavian-cuma-2-juta-all-in-free-biaya-b-166874919043.html","rumah scandinavian cuma 2 juta all in free biaya biaya","Cilangkap, Depok","Rp 422.000.000","70","","2","1","","36","","yes","yes","","",""
"https://www.lamudi.co.id/cluster-dp-0-dekat-stasiun-depok.html","Cluster DP 0% dekat stasiun Depok","Cilodong, Depok","Rp 538.000.000","73","","2","1","","40","","","","","",""
"https://www.lamudi.co.id/rumah-di-kavling-iip-kalimulya-depok-166599685621.html","RRumah di Kavling IIP Kalimulya Depok","Kalimulya, Depok","Rp 3.900.000.000","540","","3","4","","540","","","","","",""
"https://www.lamudi.co.id/rumah-dijual-di-depok-timur-dalam-komplek-lokasi-t-166496933388.html","rumah dijual di Depok Timur. dalam komplek lokasi tengah kota","abadi jaya Sukmajaya, Depok","Rp 1.800.000.000","240","2","6","4","","480","","","","","",""
"https://www.lamudi.co.id/316-rumah-2-5-lt-ecoliving-pertama-di-cimanggis-dg-166610170344.html","316.Rumah 2,5 Lt Ecoliving pertama di Cimanggis Dgn Rooftop Cozy Depok","Cimanggis Depok Cimanggis, Depok","Rp 896.797.763","67","1","3","2","","55","","","","","",""
"https://www.lamudi.co.id/rumah-ready-tanpa-dp-0-didepok-166633635719.html","Rumah Ready Tanpa DP 0% didepok","Kalimulya, Depok","Rp 530.000.000","66","","2","1","","40","","yes","","","",""
"https://www.lamudi.co.id/rumah-di-cinangka-dekat-toll-pamulang-pondok-cabe-167063897184.html","Rumah di Cinangka Dekat Toll Pamulang, Pondok Cabe, Jakarta Selatan","Cinangka, Depok","Rp 695.000.000","50","","3","2","","70","","yes","yes","","",""
"https://www.lamudi.co.id/rumah-2-lantai-dp-0-angsuran-mulai-dari-4-jt-an-flat.html","Rumah 2 lantai DP 0% angsuran mulai dari 4 jt an flat","Cilodong, Depok","Rp 800.000.000","80","","3","2","","55","yes","yes","yes","","yes",""
"https://www.lamudi.co.id/tp135-rumah-baru-clasic-modern-luxury-dlm-komp-mew-16711896208.html","Tp135.Rumah Baru Clasic Modern Luxury dlm Komp Mewah Di Cinere Depok","Cinere Depok Cinere, Depok","Rp 2.500.000.000","110","2","4","4","","170","","","","","",""
"https://www.lamudi.co.id/di-jual-rumah-minimalis-strategis-2-lantai-di-tana-166514818898.html","Di jual Rumah Minimalis Strategis 2 Lantai Di Tanah Baru Beji Depok","Tanah Baru, Depok","Rp 700.000.000","60","1","2","2","","51","","","","","",""
"https://www.lamudi.co.id/rumah-nyaman-strategis-asri-167003558472.html","Rumah nyaman, strategis, asri","Cilodong, Depok","Rp 3.700.000.000","194","1","3","4","","120","","","","","",""
"https://www.lamudi.co.id/ready-siap-huni-tanpa-dp-0-prose-mudah-166912994163.html","ready siap huni tanpa DP 0% prose mudah","Sukmajaya, Depok","Rp 610.000.000","60","","2","1","","40","yes","yes","yes","","",""
"https://www.lamudi.co.id/best-deals-dp-15-juta-langsung-akad-bebas-biaya-surat2-siap-huni.html","BEST DEALS : DP 15 JUTA LANGSUNG AKAD Bebas biaya surat2 Siap Huni","Jl H Abdul Ghani Pabuaran Citayam Sawangan, Depok","Rp 477.424.550","72","","2","1","","40","yes","yes","yes","","",""
"https://www.lamudi.co.id/rumah-dijual-di-depok-cimanggis-dekat-pintu-toll-l-165936537142.html","Rumah DIjual Di Depok Cimanggis dekat pintu Toll Lokasi Pinggir Jalan","Cimanggis, Depok","Rp 780.000.000","62","1","3","2","","50","","","","","",""
"https://www.lamudi.co.id/rumah-nyaman-strategis-asri-167003558472.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/hunian-premium-2-lantai-plus-rooftop-di-margonda-d-166613532149.html","Hunian Premium 2½ Lantai Plus Rooftop Di Margonda Depok","Margonda, Depok","Rp 1.537.000.000","66","","4","4","","100","","","","","",""
"https://www.lamudi.co.id/dijual-rumah-cantik-di-beji-depok-167100838582.html","Dijual Rumah Cantik Di Beji Depok","Beji, Depok","Rp 1.493.500.000","72","2","3","3","","110","yes","yes","yes","","","2"
"https://www.lamudi.co.id/rumah-siap-huni-dekat-ke-grand-depok-city-dan-margonda.html","Rumah Siap Huni Dekat Ke Grand Depok City Dan Margonda","Grand depok city Sukmajaya, Depok","Rp 660.000.000","84","1","2","2","","65","","","","","",""
"https://www.lamudi.co.id/rumah-700jt-di-kelapa-dua-167107556855.html","Rumah 700jtan di Kelapa Dua","Kelapa Dua, Depok","Rp 760.000.000","70","","2","2","","80","","","","","",""
"https://www.lamudi.co.id/rumah-murah-dicilodong-bisa-kpr-pribadi-166882126618.html","Rumah murah dicilodong bisa kpr pribadi","Cilodong, Depok","Rp 350.000.000","50","","2","1","","50","","","","","",""
"https://www.lamudi.co.id/di-jual-cepat-rumah-minimalis-166737487571.html","Di jual CEPAT Rumah Minimalis","Sawangan, Depok","Rp 390.000.000","40","","2","1","","60","","","","","",""
"https://www.lamudi.co.id/rumah-siap-huni-400-juta-an-167023791077.html","Rumah siap huni 400 juta-an","Cilodong, Depok","Rp 459.500.000","50","1","2","1","","40","","","","","",""
"https://www.lamudi.co.id/s01-new-cluster-2lt-type-minimalis-spek-bata-merah-166739759558.html","S01.New Cluster 2Lt type Minimalis spek bata merah Dp 0% Free biaya","Curug Bojongsari Depok Bojongsari, Depok","Rp 711.000.000","44","1","2","2","","45","","","","","",""
