"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_taman","rumah_AC","rumah_keamanan","rumah_balcony","rumah_jumlah_lantai","rumah_kolam_renang","rumah_fully_furnished"
"https://www.lamudi.co.id/br936-perumahan-siap-huni-permata-cimanggis-tapos-166599285168.html","BR936 Perumahan siap huni Permata Cimanggis Tapos Depok","Permata Cimanggis Tapos Depok Tapos, Depok","Rp 630.000.000","72","1","2","1","48","","","","","","",""
"https://www.lamudi.co.id/rumah-dp-ringan-dekat-mall-cibubur-junction-dekat-166039329890.html","Rumah Di Depok dekat Mall Cibubur Junction dekat LRT Cimanggis","Jalan Terusan Mandiri Cimanggis Depok Cimanggis, Depok","Rp 950.000.000","73","1","3","2","69","yes","","","","","",""
"https://www.lamudi.co.id/rumah-dekat-pintu-tol-cisalak-pinggir-jalan-raya-166039335856.html","Rumah dekat pintu tol Cisalak pinggir jalan raya","Sukmajaya, Depok","Rp 857.000.000","72","","2","2","51","yes","yes","","","","",""
"https://www.lamudi.co.id/rumah-kompleks-grand-depok-city-tidak-banjir-dekat-tol-tole-iskandar.html","Rumah Kompleks Grand Depok City Tidak Banjir Dekat Tol Tole Iskandar","Jl. Boulevard Grand Depok City Jl. Ruko Anggrek 1 No.21, Tirtajaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16412, Indonesia Depok, Depok","Rp 1.500.000.000","150","1","4","3","95","yes","yes","yes","yes","","",""
"https://www.lamudi.co.id/dijual-rumah-tanpa-dp-didepok-166651479339.html","dijual rumah Tanpa DP didepok","Kalibaru, Depok","Rp 685.000.000","82","","2","2","50","yes","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-baru-siap-jadi-milik-anda-16674470934.html","Rumah baru siap jadi milik anda","Sukmajaya, Depok","Rp 684.300.000","90","","2","2","60","yes","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-terpopuler-paling-dicari-166946566578.html","RUMAH TERPOPULER PALING DICARI","Kalimulya, Depok","Rp 915.000.000","75","","3","3","80","yes","yes","yes","yes","","",""
"https://www.lamudi.co.id/461-rumah-siap-huni-ready-stock-mezaninen-dp-0-fre-16660980606.html","461.Rumah Siap Huni Ready Stock Mezaninen Dp 0% Free biaya Strategis","kalibaru cilodong depok Kalibaru, Depok","Rp 650.000.000","60","2","2","1","38","","","","","","",""
"https://www.lamudi.co.id/ad204-new-cluster-2-lantai-3km-ke-pintu-tol-cibubu-166735151961.html","Ad204.New Cluster 2 Lantai 3Km ke Pintu tol Cibubur Cimanggis Depok","Cimanggis Depok Cimanggis, Depok","Rp 1.090.559.600","81","1","3","2","70","","","","","","",""
"https://www.lamudi.co.id/dijual-rumah-di-pesona-depok-estate-depok-jawa-barat-2.html","Dijual Rumah di Pesona Depok Estate Depok Jawa Barat","Pesona Depok Estate Pancoran Mas, Depok","Rp 4.200.000.000","200","","3","2","104","","","","","1","",""
