"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_AC","rumah_taman","rumah_lahan_parkir","rumah_keamanan","rumah_jumlah_lantai","rumah_balcony","rumah_kolam_renang"
"https://www.lamudi.co.id/rumah-dijual-beji-depok-murah-166797612347.html","Rumah dijual Beji Depok Murah","jl.H. Iming raya RT.08/02 Beji Depok Beji, Depok","Rp 380.000.000","2","1","52","52","","","","","","",""
"https://www.lamudi.co.id/hunian-1-lantai-di-pusat-kota-depok-tanpa-dp.html","hunian 1 lantai di pusat kota Depok tanpa DP","Sukmajaya, Depok","Rp 585.000.000","2","1","45","60","yes","yes","","","","",""
"https://www.lamudi.co.id/rumah-murah-akses-mobil-dekat-stasiun-depok-166841205443.html","Rumah murah akses mobil dekat stasiun Depok","Jalan Raya Bulak Timur, Depok 16442, Indonesia Depok","Rp 190.000.000","2","1","30","40","yes","yes","1","yes","","",""
"https://www.lamudi.co.id/op77-brand-new-cluster-hrg-terjangkau-hny-dgn-5-jt-166860593563.html","Op77.Brand New Cluster Hrg Terjangkau Hny dgn 5 Jt All in Strategis","Duren Seribu Bojongsari Depok Duren Seribu, Depok","Rp 582.000.000","2","1","36","65","","","1","","","",""
"https://www.lamudi.co.id/dapatkan-hunian-nyaman-5-juta-all-in-bojongsari-depok-terbukti-akad.html","Dapatkan Hunian Nyaman 5 Juta All In Bojongsari Depok, Terbukti Akad","Jalan Cemara 2, Duren Seribu, Bojongsari, Depok Bojongsari, Depok","Rp 440.000.000","2","1","39","72","","yes","1","yes","","",""
"https://www.lamudi.co.id/rumah-2-lantai-di-livingstone-telaga-golf-sawangan-166618991320.html","Rumah 2 lantai di Livingstone Telaga Golf Sawangan","Sawangan, Depok","Rp 2.208.837.500","4","4","180","120","","","2","","2","yes",""
"https://www.lamudi.co.id/rumah-mewah-siap-huni-dalam-perumahan-elite-cinere.html","Rumah Mewah Siap Huni Dalam Perumahan Elite Cinere","Jalan cinere jawa barat Cinere, Depok","Rp 6.300.000.000","5","6","430","484","","","4","","","",""
"https://www.lamudi.co.id/rumah-600-jutaan-tanpa-dp-siap-huni-166693154221.html","RUMAH 600 JUTAAN TANPA DP SIAP HUNI","JL.H THARIN KALIMULYA KOTA DEPOK Cimanggis, Depok","Rp 610.000.000","2","1","36","61","yes","yes","1","yes","1","",""
"https://www.lamudi.co.id/rumah-second-full-furnish-ada-taman-dpn-belakang-carport-luas-di-depok.html","Rumah second full furnish ada taman dpn belakang carport luas di Depok","Tapos Depok Tapos, Depok","Rp 1.900.000.000","4","4","98","120","","","1","","","",""
"https://www.lamudi.co.id/rumah-siap-huni-bisa-kpr-0-dekat-lebak-bulus-16703008316.html","Rumah siap huni bisa KPR 0% dekat Lebak Bulus","Pondok Petir, Depok","Rp 917.500.000","2","1","45","84","","yes","","yes","","","yes"
"https://www.lamudi.co.id/for-sale-rumah-full-furnished-murah-meriah-di-pancoran-mas-depok.html","For Sale Rumah Full Furnished Murah Meriah Di Pancoran Mas, Depok","Depok","Rp 530.000.000","2","1","45","73","","","","","1","",""
"https://www.lamudi.co.id/jual-rumah-2-lantai-cluster-cilodong-depok-dp-0-dan-bebas-biaya.html","JUAL RUMAH 2 LANTAI CLUSTER CILODONG DEPOK, DP 0% DAN BEBAS BIAYA","jl cilodong Cilodong, Depok","Rp 796.000.000","3","2","56","60","","","1","yes","","",""
"https://www.lamudi.co.id/rumah-2-lantai-dekat-tol-cibubur-bebas-banjir-lega-166178715974.html","Rumah 2 Lantai Dekat Tol Cibubur Bebas Banjir Legalitas Clear.","JL BUNGUR 2, HARJAMUKTI, CIMANGGIS - DEPOK CIMANGGIS, DEPOK Harjamukti, Depok","Rp 1.048.615.000","2","3","70","82","yes","yes","1","yes","","",""
"https://www.lamudi.co.id/cluster-baru-harga-terjangkau-akses-jalan-besar-da-167202702878.html","cluster baru harga terjangkau, akses jalan besar dan sudah SHM","Jalan Raya Citayam, Depok 16445, Indonesia Cipayung, Depok","Rp 180.000.000","2","1","30","41","yes","","","","","",""
"https://www.lamudi.co.id/cluster-2-lantai-dekat-kampus-ui-dan-stasiun-depok-167197092362.html","Cluster 2 lantai dekat kampus UI dan stasiun Depok di tanah baru Beji Depok","Jalan Palakali, Depok 16425, Indonesia Tanah Baru, Depok","Rp 693.200.000","3","2","60","75","","yes","1","yes","2","yes","yes"
"https://www.lamudi.co.id/dijual-rumah-minimalis-dalam-cluster-baru-desain-modern-minimalis-di-depok.html","Dijual rumah minimalis dalam cluster baru desain modern minimalis di Depok","Jalan harapan Limo, Depok","Rp 654.500.000","2","1","45","73","","yes","1","yes","","",""
"https://www.lamudi.co.id/dijual-hunian-eksklusif-kota-depok-bukit-indah-cipayung.html","DIJUAL - HUNIAN EKSKLUSIF KOTA DEPOK - BUKIT INDAH CIPAYUNG","jl.taman jaya Cipayung kota Depok Cipayung, Depok","Rp 260.000.000","2","1","36","50","","","","","","",""
"https://www.lamudi.co.id/rumah-besar-di-depok-cuman-3jt-langsung-akad-all-i-165949765944.html","Rumah Besar di Depok Cuman 3jt langsung Akad ALL IN","Serua, Kec. Bojongsari, Kota Depok, Jawa Barat 16517 Gandul, Depok","Rp 888.300.000","2","1","45","97","","yes","1","","","","yes"
"https://www.lamudi.co.id/rumah-tropis-minimalis-siap-huni-depan-tol-depok.html","Rumah Tropis Minimalis Siap huni depan Tol Depok","Jl Harapan Tanah Baru, Depok","Rp 654.500.000","2","1","45","73","yes","yes","1","yes","","",""
"https://www.lamudi.co.id/rumah-murah-di-citayam-dekat-dengan-stasiun-166372728561.html","RUMAH MURAH DI CITAYAM DEKAT DENGAN STASIUN","Citayam, Depok","Rp 350.000.000","2","1","36","62","yes","yes","","yes","","",""
"https://www.lamudi.co.id/rumah-baru-siap-huni-dalam-cluster-di-telaga-golf-sawangan.html","Rumah Baru Siap Huni Dalam Cluster di Telaga Golf Sawangan","Telaga Golf Sawangan, Depok","Rp 1.300.000.000","4","3","150","136","","","","","2","",""
"https://www.lamudi.co.id/jual-rumah-murah-dekat-alun-alun-depok-1.html","Jual Rumah MURAH Dekat Alun--Alun Depok","Cilodong, Depok","Rp 273.000.000","2","1","24","42","","yes","1","","","",""
"https://www.lamudi.co.id/rumah-siap-huni-sudah-pecah-sertifikat-500-jutaan-di-seberang-tol-sawangan-depok-1.html","Rumah Siap Huni Sudah Pecah Sertifikat 500 Jutaan di Seberang Tol Sawangan Depok","Limo, Depok","Rp 592.150.000","2","1","45","73","","yes","1","","1","",""
"https://www.lamudi.co.id/rumah-cantik-terawat-strategis-akses-toll-gandul-cinere-depok.html","Rumah cantik terawat strategis akses toll gandul cinere Depok","Cinere, Depok","Rp 2.200.000.000","5","3","150","154","","yes","2","","","yes",""
"https://www.lamudi.co.id/rumah-didepok-tanpa-dp-0-166849945429.html","Rumah didepok Tanpa Dp 0%","Kalimulya, Depok","Rp 920.000.000","3","3","80","78","yes","yes","","yes","","yes",""
"https://www.lamudi.co.id/dijual-rumah-mekarsari-cimanggis-depok-lokasi-strategis-bebas-banjir.html","Dijual Rumah Mekarsari Cimanggis Depok Lokasi Strategis & Bebas Banjir","Jl.Bintang Raya, Mekarsari, Cimanggis Depok Cimanggis, Depok","Rp 1.150.000.000","3","2","100","185","yes","yes","2","yes","","",""
"https://www.lamudi.co.id/rumah-baru-siap-huni-scandinavian-strategis-500m-p-166744642917.html","Op60.Rumah Baru SIap Huni Scandinavian Strategis 500m pintu Tol","Limo Meruyung depok Limo, Depok","Rp 670.000.000","2","1","55","77","","","1","","","",""
"https://www.lamudi.co.id/brand-new-house-di-beji.html","brand new house di Beji","Beji, Depok","Rp 900.000.000","3","2","70","50","","","1","","","",""
"https://www.lamudi.co.id/hunian-strategis-500-jutaan-siap-huni-seberang-tol-sawangan-pancoran-mas-2.html","Hunian Strategis 500 Jutaan Siap Huni, Seberang Tol Sawangan - Pancoran Mas","Krukut, Depok","Rp 551.550.000","2","1","45","66","","yes","1","","","",""
"https://www.lamudi.co.id/rumah-siap-huni-sudah-pecah-sertifikat-500-jutaan-di-seberang-tol-sawangan-depok.html","Rumah Siap Huni Sudah Pecah Sertifikat 500 Jutaan di Seberang Tol Sawangan Depok","Krukut, Depok","Rp 592.150.000","2","1","45","73","","yes","1","","1","",""
"https://www.lamudi.co.id/ad117-rumah-siap-huni-strategis-dkt-stasiun-depok-166735641215.html","Ad117.Rumah Siap Huni Strategis Dkt Stasiun Depok Baru di Beji Timur","Beji Timur Depok Jawa Barat Beji Timur, Depok","Rp 1.400.000.000","3","2","102","110","","","2","","","",""
"https://www.lamudi.co.id/op67-brand-new-scandinavian-1-lt-di-area-sunrise-d-166791421153.html","Op67.Brand New Scandinavian 1 Lt di Area Sunrise Depok Dp0% Free biaya","Bedahan Sawangan Depok Bedahan, Depok","Rp 445.000.000","2","1","42","60","","","1","","","",""
"https://www.lamudi.co.id/p168-hunian-murah-ready-hrg-600jtan-akses-mudah-ke-166804055154.html","P168.Hunian Murah Ready hrg 600jtan Akses mudah Kemang 2 Raden Saleh","Kemang 2 raden saleh sukmajaya Depok Sukmajaya, Depok","Rp 600.000.000","2","1","48","68","","","1","","","",""
"https://www.lamudi.co.id/415-rumah-2-lantai-termurah-di-tapos-depok-hanya-500-jutaan-aja.html","415.Rumah 2 Lantai termurah di Tapos Depok Hanya 500 jutaan aja","Tapos Depok Tapos, Depok","Rp 556.000.000","2","2","46","40","","","1","","","",""
"https://www.lamudi.co.id/176-new-cluster-dgn-desain-terbaru-di-kawasan-berkembang-cinangka-sawangan-depok.html","176.New cluster dgn desain terbaru di kawasan berkembang cinangka sawangan depok","cinangka sawangan depok dekat pondok cabe Cinangka, Depok","Rp 595.000.000","2","1","40","65","","","1","","","",""
"https://www.lamudi.co.id/ddn-new-cluster-design-colonial-style-3-lantai-roofrop-kawasan-strategis.html","Ddn.New CLuster Design Colonial Style 3 lantai Roofrop kawasan Strategis","pangkalan Jati cinere Depok Pangkalan Jati, Depok","Rp 3.897.600.000","5","4","228","94","","","3","","","",""
"https://www.lamudi.co.id/cluster-600jt-samping-gerbang-tol-sawangan-depok.html","Cluster 600jt samping gerbang tol sawangan Depok","Jalan harapan Krukut, Depok","Rp 654.500.000","2","1","45","73","","yes","1","yes","","",""
"https://www.lamudi.co.id/terlaris-rumah-murah-dijual-citayam-16668584819.html","TERLARIS AMANAH VILLAGE RUMAH MURAH DIJUAL CITAYAM","jalan duren baru Poncol susukan Citayam, Depok","Rp 195.000.000","2","1","40","60","yes","yes","1","yes","","yes",""
"https://www.lamudi.co.id/dijual-rumah-full-furnished-tengah-kota-depok-166831582574.html","Dijual rumah full furnished tengah kota depok","Kelapa Dua, Depok","Rp 900.000.000","2","1","80","75","yes","","2","","","",""
"https://www.lamudi.co.id/rumah-1-lantai-kpr-165901896910.html","rumah 1 lantai kpr","Pondok Petir, Depok","Rp 650.000.000","2","1","36","89","","","","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-casablanca-premiere-dekat-margonda-juanda-depok-1.html","Rumah 2 Lantai Casablanca Premiere Dekat Margonda Juanda Depok","Jalan Japat Sukmajaya Depok Sukmajaya, Depok","Rp 789.750.000","3","2","55","60","","","1","","","",""
"https://www.lamudi.co.id/rumah-siap-huni-di-reni-jaya-pondok-petir-dekat-pa-166291750138.html","Rumah Siap Huni di Reni Jaya Pondok Petir Dekat Pamulang","Jalan Sawo Bojongsari, Depok","Rp 870.000.000","3","1","131","140","yes","","","yes","","",""
"https://www.lamudi.co.id/hunian-murah-lokasi-strategis-dekat-angkutan-umum-167151211037.html","hunian murah lokasi strategis dekat angkutan umum yuk cek lokasinya","jln raya citayam Citayam, Depok","Rp 150.000.000","2","1","36","42","","","","yes","","",""
"https://www.lamudi.co.id/perumahan-dengan-luas-tanah-besar-akses-tol-desari-fasilitas-keamanan-24jam.html","Perumahan dengan luas tanah besar, akses tol desari, fasilitas keamanan 24jam","Perumahan sawangan village cluster bukit petro blok L Sawangan, Depok","Rp 1.100.000.000","3","2","75","150","","yes","2","yes","","",""
"https://www.lamudi.co.id/jual-rumah-2-lantai-cimanggis-depok-165961191958.html","JUAL RUMAH 2 LANTAI, CIMANGGIS, DEPOK.","Jalan Mayor Idrus, Tapos, Kota Depok Tapos, Depok","Rp 480.000.000","3","2","72","60","","yes","","yes","","yes",""
"https://www.lamudi.co.id/akad-langsung-tempati-5-juta-all-in-tanpa-dp-bojongsari-dekat-tol.html","Akad langsung Tempati, 5 Juta All In Tanpa DP, Bojongsari dekat Tol","Jalan Arco raya Bojongsari Depok Bojongsari, Depok","Rp 495.000.000","2","1","45","81","yes","yes","2","yes","","",""
"https://www.lamudi.co.id/dijual-rumah-2-lantai-minimalis-cluster-mewah-depo-165901263135.html","Dijual Rumah 2 Lantai Minimalis Cluster Mewah Depok Dekat Pintu Tol","Cisalak, Depok","Rp 1.006.000.000","3","2","69","81","","","","","2","",""
"https://www.lamudi.co.id/rumah-murah-berkualitas-di-depok-1.html","Rumah Murah Berkualitas di Depok","jl.duren seribu Pengasinan, Depok","Rp 469.800.000","2","1","45","70","","yes","1","","","",""
"https://www.lamudi.co.id/rumah-500-jutaan-free-biaya-surat-dekat-tol-sawangan-3.html","Rumah 500 jutaan free biaya surat dekat tol sawangan","Jl.Harapan Rangkapan Jaya, Depok","Rp 592.150.000","2","1","45","73","","yes","1","","","",""
"https://www.lamudi.co.id/rumah-radar-auri-perbatasan-jaktim.html","Rumah RADAR AURI Perbatasan JAKTIM","Cimanggis, Depok","Rp 385.000.000","2","1","30","50","","yes","","","","",""
"https://www.lamudi.co.id/rumah-murah-2-lantai-900jt-dekat-kampus-ui-toll-kukusan-dan-stasiun-depok-baru.html","Rumah murah 2 lantai 900jt dekat kampus UI,toll kukusan dan stasiun Depok baru","Sempu Beji, Depok","Rp 900.000.000","3","2","70","57","","yes","1","yes","2","yes",""
"https://www.lamudi.co.id/rumah-ekslusif-bergaya-bali-di-tapos-di-apit-3-pintu-tol.html","Rumah ekslusif bergaya Bali di Tapos di apit 3 pintu tol","Bhakti abri Pondok Cina, Depok","Rp 823.000.000","3","2","56","82","yes","yes","","yes","","yes",""
"https://www.lamudi.co.id/kk126-rumah-second-dgn-luas-112m-ada-ruang-serba-g-166778574266.html","Kk126.Rumah Second dgn Luas 112m ada ruang serba guna di Depok Timur","Jl H Japat Depok Timur Depok, Depok","Rp 800.000.000","3","2","80","112","","","1","","","",""
"https://www.lamudi.co.id/cluster-minimalis-dgn-rooftop-di-beji-depok.html","Cluster minimalis dgn rooftop di Beji Depok","Beji depok Beji Timur, Depok","Rp 980.000.000","3","2","71","76","yes","yes","1","yes","","yes",""
"https://www.lamudi.co.id/398-rumah-2lantai-siap-huni-minimalis-termurah-area-cinangka-only-cash.html","398.Rumah 2lantai siap huni minimalis termurah area cinangka only cash","Cinangka sawangan depok { Perbatasan Tangsel } Sawangan, Depok","Rp 450.000.000","3","2","80","50","","","1","","","",""
"https://www.lamudi.co.id/rumah-modern-minimalis-akses-terdekat-ke-stasiun-d-165996516962.html","Rumah Modern Minimalis Akses Terdekat ke Stasiun Depok Lama","Tirtajaya kp serab Sukmajaya, Depok","Rp 887.000.000","3","2","66","66","yes","yes","","yes","","",""
"https://www.lamudi.co.id/rumah-siap-huni-dekat-ciputat-tanpa-dp-166808527955.html","rumah siap huni dekat Ciputat tanpa DP","Pondok Petir, Depok","Rp 917.500.000","2","1","45","84","","yes","","yes","","","yes"
"https://www.lamudi.co.id/rumah-strategis-nyaman-dan-asri-166282532727.html","Rumah strategis,nyaman dan asri","Kelapa Dua, Depok","Rp 800.000.000","2","2","65","56","","","3","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-ready-stok-di-hook-166669035984.html","kpn lgi pnya rumah mewah hrga murah didepok","Tapos, Depok","Rp 1.400.000.000","4","2","288","163","","yes","","yes","","yes",""
"https://www.lamudi.co.id/jual-rumah-2-lantai-sukmajaya-pusat-depok-promo-be-165901265033.html","JUAL RUMAH 2 LANTAI SUKMAJAYA PUSAT DEPOK PROMO BEBAS BIAYA DAN PAJAK","dekat taman merdeka Sukmajaya, Depok","Rp 842.250.000","4","2","65","60","","yes","1","yes","","yes",""
"https://www.lamudi.co.id/dijual-rumah-cluster-garnet-2-lantai-kamar-tidur-3-permata-cimanggis-kota-depok.html","Dijual Rumah Cluster Garnet 2 Lantai kamar tidur 3 Permata Cimanggis Kota Depok","Jl. Raya Tapos cimpaeun tapos cilagka Kota depok Tapos, Depok","Rp 979.987.000","3","2","84","84","yes","yes","2","yes","","yes","yes"
"https://www.lamudi.co.id/rumah-strategis-nyaman-dan-asri-166282532727.html","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-ready-stok-di-hook-166669035984.html","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/rumah-siap-huni-dekat-ciputat-tanpa-dp-166808527955.html","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/jual-rumah-2-lantai-sukmajaya-pusat-depok-promo-be-165901265033.html","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/dijual-rumah-ready-stok-sekitaran-pondok-petir-dep-166528486929.html","DIJUAL rumah Ready Stok sekitaran Pondok Petir Depok","Pondok Petir, Depok","Rp 575.000.000","2","1","45","75","","","","","","",""
"https://www.lamudi.co.id/grand-prestige-sawangan-rumah-2-lantai-di-sawangan-165924585089.html","Grand Prestige Sawangan Rumah 2 Lantai Di Sawangan","Sawangan Baru, Depok","Rp 695.000.000","3","1","63","72","yes","yes","1","yes","","yes",""
"https://www.lamudi.co.id/promo-september-2022-cluster-kamila-residence-kota-166254322115.html","Rumah Nuansa Bali di Kota Depok, 15 Menit ke Tol JORR 2.","Cinere, Depok","Rp 779.000.000","3","2","56","68","yes","yes","","yes","","yes",""
"https://www.lamudi.co.id/rumah-murah-di-sawangan-depok-165934569817.html","Rumah Murah di Sawangan Depok","Jl. Jati Rt 3 Rw 5 Sawangan Baru, Kec. Sawangan, Kota Depok, Jawa Barat 16511 Sawangan, Depok","Rp 320.000.000","2","1","36","58","yes","yes","1","yes","1","yes","yes"
"https://www.lamudi.co.id/cluster-murah-di-kawasan-ekslusif-grand-depok-city-166675467330.html","Rumah Siap Huni hanya 717 JtDi Kawasan Ekslusif Grand Depok City Depok","Jalan Raya Cilodong, Depok 16465, Indonesia Cilodong, Depok","Rp 717.000.000","3","1","75","96","","","1","","","",""
"https://www.lamudi.co.id/asri-cimanggis-townhouse-depok-dekat-tol-cijago.html","Asri Cimanggis TownHouse Depok Dekat Tol Cijago","Cimanggis, Depok","Rp 707.200.000","3","2","95","49","","","","","3","",""
"https://www.lamudi.co.id/rumah-2-lantai-eksklusif-sukamjaya-kota-depok-promo-bebas-biaya.html","Rumah 2 Lantai Eksklusif, Sukamjaya Kota Depok, Promo Bebas Biaya","Sukmajaya, Depok","Rp 819.000.000","3","2","66","66","","yes","1","yes","","yes",""
