"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_AC","rumah_balcony","rumah_taman","rumah_keamanan","rumah_jumlah_lantai","rumah_lahan_parkir","rumah_kolam_renang","rumah_fully_furnished"
"https://www.lamudi.co.id/rumah-dp-0-didepok-unit-terbatas-166867136156.html","Rumah DP 0% didepok unit terbatas","Cilodong, Depok","Rp 925.000.000","3","3","80","81","yes","yes","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-2lantai-mewah-166909031558.html","Rumah 2lantai mewah","Cilodong, Depok","Rp 925.000.000","3","3","80","80","yes","yes","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-siap-huni-depok-mewah-166926398374.html","Rumah Siap Huni depok mewah","Cilangkap, Depok","Rp 925.000.000","3","3","80","81","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/dijual-rumah-2lantai-siap-huni-didepok-166943853662.html","dijual rumah 2lantai siap huni didepok","Kalimulya, Depok","Rp 925.000.000","3","3","80","80","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/rumah-2lantai-tanpa-dp-sampai-akad-166951602258.html","Rumah 2Lantai Tanpa DP sampai akad","Sukmajaya, Depok","Rp 915.000.000","3","3","80","90","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/rumah-1lantai-mewah-tanpa-dp-0-166964583211.html","Rumah 1Lantai mewah Tanpa DP 0%","Cilodong, Depok","Rp 685.000.000","2","2","50","82","yes","","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-tanpa-dp-siap-huni-166978151936.html","Rumah Tanpa DP Siap Huni","Sukmajaya, Depok","Rp 685.000.000","2","2","50","82","yes","","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-2lantai-siap-huni-167048397726.html","Rumah 2Lantai Siap Huni","Sukmajaya, Depok","Rp 850.000.000","3","3","80","68","yes","yes","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-cantik-tanpa-dp-mewah-16709203673.html","Rumah cantik Tanpa DP mewah","Cilodong, Depok","Rp 710.000.000","2","2","50","82","yes","","yes","yes","","","",""
"https://www.lamudi.co.id/dijual-rumah-2lantai-siap-huni-167117742656.html","dijual rumah 2Lantai Siap Huni","Cilodong, Depok","Rp 950.000.000","3","3","80","80","yes","yes","yes","yes","","","",""
"https://www.lamudi.co.id/dijual-rumah-mewah-2lantai-siap-huni-167118363741.html","dijual rumah mewah 2Lantai siap huni","Cilodong, Depok","Rp 900.000.000","3","3","85","75","yes","yes","yes","yes","","","",""
"https://www.lamudi.co.id/tahun-baru-rumah-baru-tanpa-dp-167161603715.html","Tahun Baru, Rumah Baru Tanpa DP","Cilodong, Depok","Rp 710.000.000","2","2","50","82","yes","","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-1lantai-tanpa-dp-167178594624.html","Rumah 1Lantai Tanpa DP","Kalimulya, Depok","Rp 650.000.000","2","2","60","81","yes","","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-minimalis-cimanggis-depok.html","Rumah 2 Lantai Minimalis Cimanggis Depok","Cimanggis, Depok","Rp 951.000.000","3","2","66","86","","","","","2","","",""
"https://www.lamudi.co.id/ruko-untuk-pengusaha-muslim-sawangan-depok-166035928919.html","Ruko untuk Pengusaha Muslim, Sawangan Depok","jalan Abdul wahab sawangan depok Sawangan, Depok","Rp 1.295.000.000","1","1","63","126","","","","","2","2","",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-166640915226.html","Hunian 2 Lantai dengan Model Tropical Resort","Jl. Raya Curug No 30 Depok","Rp 1.406.000.000","3","3","87","92","","yes","yes","yes","","6","yes",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-166649732194.html","Hunian 2 lantai dengan Model Tropical Resort","Jl. Raya Curug No 30 Depok","Rp 1.406.000.000","3","3","87","92","","yes","yes","yes","","6","yes",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-166692468664.html","Hunian 2 Lantai dengan model tropical resort","Depok","Rp 1.664.000.000","4","4","97","112","","yes","yes","yes","","8","yes",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-166761731771.html","Hunian 2 Lantai dengan Model Tropical Resort","Jl. Raya Curug No 30 Depok","Rp 894.000.000","2","2","73","73","","","","","","6","",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-166787602864.html","Hunian 2 Lantai dengan model Tropical Resort","Jl.Raya Curug No 30 Depok","Rp 1.286.000.000","3","3","87","77","","yes","yes","yes","","7","yes",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-167109706641.html","Hunian 2 Lantai dengan Model Tropical Resort","Jl. Raya Curug no 30 Depok","Rp 1.454.000.000","3","3","87","98","","yes","yes","yes","","7","yes",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-167118273824.html","Hunian 2 Lantai dengan Model Tropical Resort","Jl Raya Curug No 30 Depok","Rp 1.406.000.000","3","3","87","92","","yes","yes","yes","","7","yes",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-di-sa-167177078656.html","Hunian 2 Lantai dengan Model Tropical Resort di Sawangan","Jl. Raya Curug No 30 Depok","Rp 1.170.000.000","3","2","73","72","","yes","yes","yes","","6","yes",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-167186612641.html","Hunian 2 Lantai dengan Model Tropical Resort","Jl. Raya Curug Kosambi no 30 Depok","Rp 1.372.000.000","3","2","73","66","yes","yes","yes","yes","","6","",""
"https://www.lamudi.co.id/rumah-trbaru-free-kitchen-set-dekat-jalan-utama-le-166607513184.html","Rumah Trbaru Free Kitchen Set Dekat Jalan Utama, Legalitas SHM Citayam","jln raya. pasir angin nanggerang citayam Sawangan, Depok","Rp 250.000.000","2","1","36","60","","","yes","yes","","1","",""
"https://www.lamudi.co.id/rumah-cantik-di-jalan-sasak-di-apit-jl-raya-kalimu-166789427337.html","Rumah cantik di jalan sasak di apit jl raya kalimulya dan GDC","Cilodong, Depok","Rp 785.000.000","3","2","87","65","","","","","","","",""
"https://www.lamudi.co.id/rumah-minimalis-dengan-smartkey-165996565561.html","Rumah Minimalis dengan Smartkey","Jl RRI kampung serab tirtajaya Depok","Rp 931.000.000","3","2","66","72","yes","yes","yes","yes","","","",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-166873937230.html","Hunian 2 Lantai dengan Model Tropical Resort","Jl. Raya Curug No 30 Depok","Rp 1.406.000.000","3","3","87","92","","yes","yes","yes","","7","yes",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-di-bo-167022997094.html","Hunian 2 Lantai dengan Model Tropical Resort di Bojongsari","Jl. Raya Curug No 30 Depok","Rp 1.311.000.000","3","3","87","76","","yes","yes","yes","","7","yes",""
