"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_taman","rumah_keamanan","rumah_kolam_renang","rumah_balcony","rumah_AC","rumah_jumlah_lantai","rumah_fully_furnished"
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-166830732039.html","Hunian 2 Lantai dengan Model Tropical Resort","Jl. Raya Curug No 13 Depok","Rp 1.454.000.000","98","7","3","3","87","yes","yes","yes","yes","","",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-167125395787.html","Hunian 2 Lantai dengan Model Tropical Resort","Jl. Raya Curug Depok","Rp 1.386.000.000","89","7","3","3","87","yes","yes","yes","yes","","",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-167151757952.html","Hunian 2 Lantai dengan Model Tropical Resort","Jl. Raya Curug No 30 Depok","Rp 711.000.000","44","3","2","2","45","yes","yes","yes","yes","","",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-167170202290.html","Hunian 2 Lantai dengan Model Tropical Resort","Jl. Raya Curug No 30 Depok","Rp 850.000.000","55","4","2","2","50","yes","yes","yes","yes","","",""
"https://www.lamudi.co.id/jual-rumah-2-lantai-setengah-di-depok-167215286657.html","jual rumah 2 lantai setengah. di depok","Tapos, Depok","Rp 500.000.000","50","","3","2","60","","","","","","",""
"https://www.lamudi.co.id/rumah-cluster-andara-pinggir-tol-depok-antasari-167154320128.html","Rumah Cluster Andara Pinggir Tol Depok Antasari","Jalan Andara Ujung, Depok 16542, Indonesia Depok, Depok","Rp 3.200.000.000","119","2","4","4","250","","yes","","","","",""
"https://www.lamudi.co.id/classic-mediterania-siap-huni-166761858926.html","Classic Mediterania siap huni","jalan raya jatimulya Jatimulya, Depok","Rp 1.200.000.000","106","2","3","3","110","","","","","","",""
"https://www.lamudi.co.id/rumah-murah-kpr-tanpa-dp-free-biaya-biaya-166236374019.html","RUMAH MURAH KPR TANPA DP FREE BIAYA BIAYA","Jl. Sirojul Munir Pakansari cibinong Cilodong, Depok","Rp 514.000.000","72","1","2","1","42","yes","yes","","","","",""
"https://www.lamudi.co.id/tr145-new-cluster-lokasi-cakep-persis-pinggir-jln-167239856628.html","Tr145.New Cluster Lokasi cakep persis pinggir jln Raya Krukut Dpk","Krukut Limo Depok Krukut, Depok","Rp 1.722.000.000","84","1","4","4","155","","","","","","",""
"https://www.lamudi.co.id/jual-cepat-rumah-griya-cimanggis-kota-depok-3-lantai-aman-nyaman-bebas-banjir.html","JUAL CEPAT RUMAH GRIYA CIMANGGIS-KOTA DEPOK, 3 LANTAI AMAN NYAMAN BEBAS BANJIR.","Cimanggis, Depok","Rp 1.800.000.000","132","2","7","4","300","yes","yes","","yes","yes","",""
