"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_AC","rumah_taman","rumah_keamanan","rumah_lahan_parkir","rumah_balcony","rumah_jumlah_lantai","rumah_kolam_renang","rumah_fully_furnished"
"https://www.lamudi.co.id/rumah-murah-dekat-stasiun-siap-huni-167256648690.html","Rumah Murah Dekat Stasiun Siap Huni","Citayam, Depok","Rp 500.000.000","2","1","36","72","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/rumah-cantik-design-classic-modern-ready-stock-di-167236843590.html","RUMAH CANTIK DESIGN CLASSIC MODERN READY STOCK DI TANAH BARU DEPOK","Tanah Baru, Depok","Rp 895.000.000","3","3","90","57","yes","yes","yes","1","yes","","",""
"https://www.lamudi.co.id/rumah-cluster-di-kalimulya-cilodong-dekat-alun-alu-167040051352.html","Rumah 2 Lantai Free All In Dekat Exit Toll Cimanggis Tapos Depok","Tapos, Depok","Rp 1.154.000.000","3","2","70","70","","yes","yes","","yes","","",""
"https://www.lamudi.co.id/di-jual-rumah-pancoran-mas-depok-dekat-mall-dtc.html","Di jual rumah Pancoran mas Depok dekat mall dtc","Depok","Rp 930.000.000","4","2","95","88","","","","","","","",""
"https://www.lamudi.co.id/rumah-minimalis-scandinavian-di-depok-166876376869.html","Rumah minimalis scandinavian di Depok","Depok, Depok","Rp 442.200.000","2","1","36","60","","","","","","","",""
"https://www.lamudi.co.id/dijual-rumah-di-jalan-bahagia-dekat-polsek-sukmaja-167169370062.html","DIJUAL RUMAH DI JALAN BAHAGIA DEKAT POLSEK SUKMAJAYA","Sukmajaya, Depok","Rp 4.600.000.000","4","2","170","469","yes","","","","","","",""
"https://www.lamudi.co.id/rumah-didepok-cluster-27-unit-2-menit-stasiun-krl-167247387877.html","Rumah didepok cluster 27 unit 2 menit stasiun krl","Jatimulya, Depok","Rp 690.000.000","2","1","45","80","","yes","yes","1","","","",""
"https://www.lamudi.co.id/rumah-diapit-2-stasiun.html","Rumah Diapit 2 stasiun","Jl.Bojongsari, Depok Depok","Rp 400.000.000","2","1","36","","","","","","","","",""
"https://www.lamudi.co.id/rumah-depok-nempel-pondok-cabe.html","Rumah Depok Nempel Pondok Cabe","Depok","Rp 790.000.000","3","2","62","","","","","","","","",""
"https://www.lamudi.co.id/rumah-di-krukut-limo-depok-jawa-barat-16660745197.html","Rumah Minimalis 2 lantai di Krukut Limo Depok Jawa Barat","Jalan Raya Krukut Limo Depok Jawa Barat Krukut, Depok","Rp 1.700.000.000","4","4","150","85","","yes","","1","yes","","",""
"https://www.lamudi.co.id/rumah-ready-modern-minimalis-dekat-tol-cimanggis-h-166670789037.html","Rumah Ready Modern Minimalis Dekat Tol Cimanggis Harjamukti Depok","Cimanggis, Depok","Rp 1.290.000.000","3","2","93","72","","","yes","","","2","",""
"https://www.lamudi.co.id/rumah-archipelago-dekat-gate-tol-desari-sawangan-p-166711899181.html","Rumah Archipelago Dekat Gate Tol Desari Sawangan Pancoran Mas Depok","Pancoran Mas, Depok","Rp 949.940.000","3","3","81","58","","","yes","","","2","yes",""
"https://www.lamudi.co.id/rumah-di-beji-depok-5-menit-ke-tol-kukusan-dekat-k-166730975237.html","Rumah Di Beji Depok 5 menit ke TOL Kukusan + dekat Kampus UI","Beji, Depok","Rp 1.700.000.000","3","3","120","100","","","","","","2","",""
"https://www.lamudi.co.id/rumah-eropa-dalam-cluster-perbatasan-jaksel-tanah-167171423010.html","Rumah Eropa Dalam Cluster Perbatasan Jaksel Tanah Baru Beji Depok","Beji, Depok","Rp 1.525.000.000","3","3","130","77","","yes","","","","2","",""
