"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_jumlah_lantai","rumah_keamanan","rumah_AC","rumah_taman","rumah_lahan_parkir","rumah_fully_furnished","rumah_balcony","rumah_kolam_renang"
"https://www.lamudi.co.id/rumah-tanah-baru-beji-depok-design-clasic-dekat-pi-16668635495.html","Rumah Tanah Baru Beji Depok Design Clasic Dekat Pintu Tol Kukusan","Beji, Depok","Rp 1.420.000.000","3","3","110","82","2","","","","","","",""
"https://www.lamudi.co.id/rumah-ready-strategis-dekat-kampus-ui-dan-margonda-166687968910.html","Rumah Ready Strategis Dekat Kampus UI dan Margonda Cimanggis Depok","Cimanggis, Depok","Rp 1.375.000.000","3","2","95","74","2","yes","","","","","",""
"https://www.lamudi.co.id/rumah-minimalis-modern-dekat-gerbang-toll-desari-p-166705246333.html","Rumah Minimalis Modern Dekat Gerbang Toll Desari Pancoran Mas Depok","Pancoran Mas, Depok","Rp 1.150.000.000","3","2","100","70","2","","","","","","",""
"https://www.lamudi.co.id/rumah-siap-huni-di-beji-depok-skandinavian-dekat-3-166729855856.html","Rumah Siap Huni di Beji Depok Skandinavian dekat 3 akses TOL Depok","Beji, Depok","Rp 1.350.000.000","3","3","120","72","2","yes","yes","","","","",""
"https://www.lamudi.co.id/rumah-minimalis-classic-dekat-pintu-kol-kukusan-be-167172128347.html","Rumah Minimalis Classic Dekat Pintu Kol Kukusan Beji Depok","Beji, Depok","Rp 1.050.000.000","3","3","115","73","2","","","","","","",""
"https://www.lamudi.co.id/rumah-modern-minimalis-dekat-tol-desari-grogol-lim-16717218353.html","Rumah Modern Minimalis Dekat Tol Desari Grogol Limo Depok","Limo, Depok","Rp 1.250.000.000","3","3","105","85","2","","","yes","","","",""
"https://www.lamudi.co.id/rumah-baru-skandinavia-free-bphtb-dekat-tol-cijago-167172325662.html","Rumah Baru Skandinavia Free BPHTB Dekat Tol Cijago Cimanggis Depok","Cimanggis, Depok","Rp 865.000.000","3","2","76","58","2","yes","","","","","",""
"https://www.lamudi.co.id/cluster-2-lantai-murah-disamping-toll-cijago-cisal-167266745663.html","Cluster 2 Lantai Murah Disamping Toll CIJAGO Cisalak","Sukmajaya Cilodong Depok Timur Perumnas Juanda Cibubur Cisalak Pancoran Mas, Depok","Rp 790.000.000","3","2","60","46","","","","","1","","",""
"https://www.lamudi.co.id/rumah-baru-dua-lantai-lokasi-strategis-wilayah-cib-166676860796.html","Rumah baru dua lantai lokasi strategis wilayah Cibubur Depok","Jalan Mawar, Depok 16454, Indonesia Harjamukti, Depok","Rp 897.000.000","3","2","70","65","","","","","1","","",""
"https://www.lamudi.co.id/dijual-rumah-hunian-eksklusif-di-cimanggis-depok-167237807884.html","Dijual Rumah Hunian Eksklusif di Cimanggis Depok","Harjamukti Kel., Cimanggis, Depok, JABODETABEK, Indonesia Cimanggis, Depok","Rp 1.300.000.000","3","2","88","112","","","yes","","","Tidak","",""
"https://www.lamudi.co.id/rumah-murah-dekat-stasiun-kereta-citayam-cipayung-167113061869.html","Rumah murah dekat stasiun kereta citayam cipayung depok","Citayam, Depok","Rp 185.000.000","2","1","36","50","","yes","yes","","","","",""
"https://www.lamudi.co.id/di-jual-rumah-cilodong-kawasan-gdc.html","Di jual rumah Cilodong kawasan gdc","Depok","Rp 606.000.000","3","2","56","60","","","","","","","",""
"https://www.lamudi.co.id/di-jual-rumah-di-pancoran-mas-depok-nempel-tol.html","Di jual rumah di Pancoran mas Depok nempel tol","Depok","Rp 720.000.000","2","1","60","75","","","","","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-osaka-free-biaya-dekat-exit-toll-ci-167171907261.html","Rumah 2 Lantai Osaka Free Biaya Dekat Exit Toll Cimanggis Tapos Depok","Jalan Raya Tapos Depok Tapos, Depok","Rp 852.000.000","3","2","65","50","2","yes","","yes","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-alexandria-premiere-promo-free-biaya-biaya-cimanggis-golf-depok.html","Rumah Minimalis 2 Lantai Dekat Exit Toll Cimanggis Tapos Depok","Jalan Raya Leuwinanggung Cimanggis Tapos Depok Tapos, Depok","Rp 763.000.000","3","2","47","45","2","yes","","yes","","","yes",""
"https://www.lamudi.co.id/cluster-keren-di-jalan-bhakti-abri-166812509134.html","Cluster keren di Jalan Bhakti ABRI","Jalan Bhakti ABRI Jatijajar Depok Tapos Tapos, Depok","Rp 400.000.000","2","2","42","40","","yes","","yes","1","","",""
"https://www.lamudi.co.id/jual-rumah-luas-dekat-stasiun-lokasi-strategis-sia-166855607471.html","Jual Rumah Luas DEKAT STASIUN Lokasi Strategis Siap Huni","Jalan Jembatan Serong, Depok 16441, Indonesia Cipayung, Depok","Rp 495.000.000","2","1","54","78","","","","yes","1","","",""
"https://www.lamudi.co.id/di-jual-rumah-di-sawangan-depok-2.html","Di jual rumah di sawangan Depok","Depok","Rp 850.000.000","3","2","70","70","","","","","","","",""
"https://www.lamudi.co.id/di-jual-rumah-di-kalimulya-cilodong-depok.html","Di jual rumah di Kalimulya Cilodong depok","Depok","Rp 999.000.000","3","2","80","78","","","","","","","",""
"https://www.lamudi.co.id/di-jual-rumah-di-margonda-sukmajaya-dekat-stasiun-dan-gdc.html","Di jual rumah di Margonda sukmajaya dekat stasiun dan gdc","Depok","Rp 842.000.000","3","2","70","88","","","","","","","",""
"https://www.lamudi.co.id/rumah-cantik-baru-minimalis-dijln-kemang-cilodong-166877602728.html","Rumah cantik baru minimalis dijln kemang cilodong","Cilodong, Depok","Rp 1.800.000.000","4","3","100","285","","","","","","","",""
"https://www.lamudi.co.id/op61-townhouse-modern-siap-huni-500m-ke-gate-tol-s-166743764527.html","Op61.Townhouse Modern Siap Huni 500m ke Gate Tol Sawangan Pancoran Mas","Pancoran Mas Depok Pancoran Mas, Depok","Rp 1.150.000.000","3","4","105","72","","","","","1","","",""
"https://www.lamudi.co.id/p200-rumah-siap-huni-hrg-400jt-an-akses-strategis-166800631814.html","P200.Rumah Siap Huni hrg 400jt-an Akses Strategis Dp0%","Cilodong depok Cilodong, Depok","Rp 487.450.000","2","1","40","55","","","","","1","","",""
"https://www.lamudi.co.id/ec105-rumah-strategis-ada-ruko-jg-free-biaya-biaya-16680455902.html","Ec105.Rumah Strategis ada Ruko jg Free biaya biaya di Tapos Cimanggis","Tapos Leuwinanggung Cimanggis Depok Tapos, Depok","Rp 1.125.490.200","3","2","70","67","","","","","2","","",""
"https://www.lamudi.co.id/nik-rumah-mewah-2-lantai-dlm-cluster-bergaya-clasi-166844087240.html","Nik.Rumah Mewah 2 Lantai dlm Cluster Bergaya Clasic Modern Free biaya","Dekat GDC dan Raden Saleh Depok Sukmajaya, Depok","Rp 999.000.000","3","3","90","98","","","","","2","","",""
"https://www.lamudi.co.id/op85-new-cluster-siap-huni-ready-free-biaya-all-in-166903741048.html","Op85.New Cluster Siap Huni Ready Free biaya All in di Sawangan Depok","Sawangan Depok Sawangan, Depok","Rp 500.000.000","2","1","45","60","","","","","1","","",""
"https://www.lamudi.co.id/nik203-hunian-mewah-2-lantai-dlm-cluster-clasic-mo-166938988062.html","Nik203.Hunian Mewah 2 Lantai dlm Cluster Clasic Modern Free biaya","Dekat GDC dan raden saleh Depok Depok, Depok","Rp 999.000.000","3","3","90","98","","","","","2","","",""
"https://www.lamudi.co.id/op87-rumah-ready-stock-siap-huni-cinere-dekat-pint-166955998925.html","Op87.Rumah Ready Stock Siap Huni Cinere Dekat Pintu Tol Brigif","Cinere Dekat Pintu Tol Brigif Cinere, Depok","Rp 1.561.000.000","2","2","74","97","","","","","1","","",""
"https://www.lamudi.co.id/hd-rumah-scandinavian-murah-mewah-tanah-luas-serua-167072804712.html","HD.Rumah Scandinavian Murah Mewah Tanah Luas Serua Perbatasan Pamulang","SERUA PERBATASAN PAMULANG, SAWANGAN BOJONG SARI Bojongsari, Depok","Rp 795.000.000","3","2","76","101","","","","","1","","",""
"https://www.lamudi.co.id/n059-hunian-2-lt-siap-huni-ready-stok-murah-dlm-cl-167076731755.html","N059.hunian 2 Lt siap huni ready stok murah dlm cluster di Cilodong","Jalan Raya Abdul Gani, Depok 16473, Indonesia Cilodong, Depok","Rp 750.000.000","3","2","63","83","","","","","1","","",""
"https://www.lamudi.co.id/mus22-townhouse-1-dan-2-lt-promo-2jt-tanpa-dp-stra-167214179911.html","Mus22.Townhouse 1 dan 2 Lt Promo 2jt tanpa Dp Strategis Sawangan Depok","Sawangan Depok Sawangan, Depok","Rp 520.000.000","2","1","42","60","","","","","1","","",""
"https://www.lamudi.co.id/rumah-mewah-2-lantai-dekat-alun-alun-depok.html","Rumah MEWAH 2 Lantai Dekat Alun - alun Depok","Jl. Boulevard Grand Depok City Jl. Ruko Anggrek 1 No.21, Tirtajaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16412, Indonesia Depok, Depok","Rp 850.000.000","2","1","64","76","","","yes","yes","1","","",""
"https://www.lamudi.co.id/rumah-baru-dp-0-mewah-bngt-166606245627.html","rumah baru DP 0% mewah bngt","Cimanggis, Depok","Rp 735.000.000","2","2","50","73","","yes","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-dijual-tanpa-dp-didepok-166614561088.html","Rumah dijual Tanpa DP didepok","Cilodong, Depok","Rp 900.000.000","3","3","85","75","","yes","yes","yes","","","yes",""
"https://www.lamudi.co.id/rumah-2lantai-mewah-tanpa-dp-0-166616768871.html","Rumah 2lantai Mewah Tanpa DP 0%","Sukmajaya, Depok","Rp 1.125.000.000","3","3","75","109","","yes","yes","yes","","","yes",""
"https://www.lamudi.co.id/rumah-minimalis-cantik-tanpa-dp-166641959060.html","Rumah minimalis cantik Tanpa DP","Kalimulya, Depok","Rp 735.000.000","2","2","50","72","","yes","yes","yes","","","",""
"https://www.lamudi.co.id/townhouse-tanpa-dp-0-166675788071.html","Townhouse Tanpa DP 0%","Cilodong, Depok","Rp 685.000.000","2","2","60","90","","yes","yes","yes","","","",""
"https://www.lamudi.co.id/townhouse-murah-didepok-tanpa-dp-166679029719.html","townhouse murah didepok Tanpa DP","Cilodong, Depok","Rp 685.000.000","2","2","60","90","","yes","yes","yes","","","",""
