"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_jumlah_lantai","rumah_keamanan","rumah_taman","rumah_AC","rumah_balcony","rumah_lahan_parkir","rumah_fully_furnished","rumah_kolam_renang"
"https://www.lamudi.co.id/rumah-minimalis-unik-desain-tahun-2020-strategis-c-166642987469.html","Rumah Minimalis Unik Desain Tahun 2020 Strategis Cimanggis Depok","Cimanggis, Depok","Rp 1.263.000.000","3","2","70","80","2","yes","yes","","","","",""
"https://www.lamudi.co.id/cluster-free-biaya-biaya-dekat-margonda-di-gdc-tol-166711925362.html","Cluster Free Biaya - Biaya Dekat Margonda di GDC Tol dan Kereta Depok","Cilodong, Depok","Rp 668.375.000","3","2","55","65","2","yes","yes","","","","",""
"https://www.lamudi.co.id/hunian-asri-mediterranean-classic-dekat-tol-krukut-166729780196.html","Hunian Asri Mediterranean Classic Dekat Tol Krukut Limo Depok","Limo, Depok","Rp 3.000.000.000","3","3","200","305","1","","","yes","","","",""
"https://www.lamudi.co.id/cluster-2-lt-5menit-exit-tol-cimanggis.html","Cluster 2 Lt 5menit exit tol cimanggis","Cimanggis, Depok","Rp 825.000.000","3","2","85","72","","yes","yes","","yes","","",""
"https://www.lamudi.co.id/di-jual-rumah-di-cilodong-depok-166735823293.html","Di Jual Rumah Cluster di Cilodong Depok","Cilodong, Depok","Rp 575.000.000","2","1","48","65","","","","","","","",""
"https://www.lamudi.co.id/rumah-murah-depok-166211375048.html","Rumah Murah Depok","Jalan pasir putih depok Depok","Rp 363.000.000","2","1","40","60","","","yes","","","1","",""
"https://www.lamudi.co.id/rumah-mewah-dekat-pintu-tol-cimanggis-depok-alexan-166548033357.html","Rumah mewah dekat pintu tol Cimanggis Depok- Alexandria Premier","Depok","Rp 760.000.000","3","2","70","66","","","","","","","",""
"https://www.lamudi.co.id/dijual-rumah-modern-house-anatolia-cibubur-167237935589.html","Dijual Rumah Modern House Cibubur","Harjamukti Kel., Cimanggis, Depok, JABODETABEK, Indonesia Cimanggis, Depok","Rp 2.800.000.000","5","4","210","180","","yes","","yes","yes","1","Tidak",""
"https://www.lamudi.co.id/di-jual-rumah-di-beji-depok-dekat-ui.html","Di jual rumah di Beji Depok dekat ui","Depok","Rp 1.600.000.000","3","3","140","112","","","","","","","",""
"https://www.lamudi.co.id/di-jual-rumah-di-sawangan-dekat-tol.html","di jual rumah di sawangan dekat tol","Depok, Depok","Rp 990.000.000","3","3","","100","","","","","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-alexandria-premiere-free-biaya-biaya-dekat-tol-cimanggis-depok.html","Rumah 2 Lantai Free All In Di Pekapuran Cimanggis Tapos Depok","Jalan Belong Sukatani Pekapuran Cimanggis Tapos Depok Sukatani, Depok","Rp 877.000.000","3","2","63","66","2","yes","yes","","","","",""
