"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_AC","rumah_kolam_renang","rumah_balcony","rumah_taman","rumah_keamanan","rumah_jumlah_lantai","rumah_fully_furnished"
"https://www.lamudi.co.id/kk180-rumah-second-renov-siap-huni-dlm-cluster-gra-166795704252.html","kk180.Rumah Second Renov siap Huni dlm cluster Grand Putra Mandiri","Tanah Baru, Depok","Rp 820.000.000","81","1","2","1","48","","","","","","",""
"https://www.lamudi.co.id/rumah-3-lantai-dp-0-angsuran-mulai-dari-5-jtan-flat.html","Rumah 2 lantai dekat Margonda Free DP 0","Kelapa Dua, Depok","Rp 850.000.000","60","","3","2","82","yes","yes","yes","yes","","",""
"https://www.lamudi.co.id/di-jual-rumah-berkualitas-di-depok-dengan-harga-ekonomis.html","Di Jual Rumah Berkualitas di Depok Dengan Harga Ekonomis","Cilodong, Depok","Rp 166.000.000","24","1","1","1","24","","","","","","",""
"https://www.lamudi.co.id/rumah-kavling-di-jual-cepat-siap-huni.html","Rumah kavling di jual cepat siap huni","Citayam, Depok","Rp 365.000.000","80","","3","1","80","yes","","","","","",""
"https://www.lamudi.co.id/dijual-rumah-siap-huni-164.html","dijual rumah siap huni","jl. herman tajir, pd petir, depok Bojongsari, Depok","Rp 800.000.000","125","1","2","1","45","","","","yes","yes","",""
"https://www.lamudi.co.id/hunian-cantik-modern-2-lantai-ala-jepang-selangkah-dari-stasiun-depok.html","Hunian Cantik Modern 2 Lantai Ala Jepang Selangkah Dari Stasiun Depok","Jalan Raya Cagar Alam Pancoran Mas, Depok","Rp 825.000.000","68","1","3","2","84","yes","","yes","yes","","",""
"https://www.lamudi.co.id/rumah-murah-meriah-166814607359.html","rumah murah meriah","Cipayung, Depok","Rp 190.000.000","40","","2","1","30","","","","","","",""
"https://www.lamudi.co.id/rumah-murah-tapi-mewah-dp-13jt-all-in-166365495715.html","RUMAH MURAH TAPI MEWAH DP 13jt ALL IN","kampung baru Babakan , ragajaya , Bojong gede , kab.bogor Citayam, Depok","Rp 365.000.000","65","","2","1","36","yes","","","yes","yes","",""
"https://www.lamudi.co.id/rumah-dua-lantai-dekat-gdc-kota-depok-promo-free-b-165908130284.html","Rumah Dua Lantai Dekat GDC, Kota Depok, Promo Free Biaya dan All In","Sukmajaya, Depok","Rp 887.250.000","66","","3","2","66","","","","yes","","",""
"https://www.lamudi.co.id/rumah-2-lantai-dekat-gdc-kota-depok-promo-haega-su-165908131440.html","Rumah 2 Lantai dekat GDC, Kota Depok, Promo Haega sudah All In","Sukmajaya, Depok","Rp 887.250.000","66","","3","2","66","","","","yes","","",""
"https://www.lamudi.co.id/rumah-mewah-2-lt-di-gdc-depok-harga-dibawah-pasar-165968062470.html","Rumah Mewah 2 lt di GDC Depok, harga dibawah pasar, DP 0%","Kalimulya, Depok","Rp 1.185.000.000","","","3","2","","","","","","","",""
"https://www.lamudi.co.id/rumah-baru-desain-american-classic-di-tanah-baru-d-166141502517.html","Rumah baru desain American Classic di Tanah Baru,DEPOK","Tanah Baru, Depok","Rp 1.525.000.000","80","2","4","4","130","","","","","","",""
"https://www.lamudi.co.id/cluster-mewah-vega-residence-kawasan-millenial-depok.html","Cluster Mewah Vega Residence Kawasan Millenial Depok","Jl. Boulevard Grand Depok City Jl. Ruko Anggrek 1 No.21, Tirtajaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16412, Indonesia Depok, Depok","Rp 635.000.000","72","1","2","1","38","","","","yes","yes","",""
"https://www.lamudi.co.id/dijual-rumah-cantik-apik-terawat.html","DIJUAL RUMAH CANTIK, APIK, TERAWAT","Jl. Beji Beji, Depok","Rp 900.000.000","99","","2","2","69","","","","","yes","",""
"https://www.lamudi.co.id/cluster-siap-huni-dekat-stasiun-tol-rangkapan-jaya-pancoran-mas-3.html","Cluster Siap Huni Dekat Stasiun, Tol Rangkapan Jaya Pancoran Mas","Pancoran Mas, Depok","Rp 1.200.000.000","84","","3","3","114","","","","","","2",""
"https://www.lamudi.co.id/op89-cluster-mewah-strategis-di-depok-hny-5mnt-ke-166956588130.html","Op89.Cluster Mewah Strategis di Depok Hny 5mnt ke Tol Pamulang","Cinangka Sawangan Depok Cinangka, Depok","Rp 850.000.000","67","1","3","2","62","","","","","","",""
