"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_lahan_parkir","rumah_taman","rumah_keamanan","rumah_kolam_renang","rumah_balcony","rumah_AC","rumah_jumlah_lantai","rumah_fully_furnished"
"https://www.lamudi.co.id/rumah-2-lantai-bumi-karya-pesona-kalimulya-pondok-165908133748.html","Rumah 2 Lantai Bumi Karya Pesona Kalimulya Pondok Rajeg Cibinong Depok","Cilodong, Depok","Rp 743.100.000","3","2","60","88","","","","","","","",""
"https://www.lamudi.co.id/rumah-mewah-bisa-kpr-fasilitas-terlengkap.html","RUMAH MEWAH, BISA KPR, FASILITAS TERLENGKAP","Depok","Rp 3.000.000.000","4","4","186","185","2","yes","yes","yes","yes","","",""
"https://www.lamudi.co.id/promo-spesial-5-juta-all-in-cicilan-2-jutaan-bojongsari-depok.html","Promo Spesial 5 Juta All In, Cicilan 2 Jutaan Bojongsari Depok","Jalan Cemara 2, Duren Seribu, Bojongsari, Depok Bojongsari, Depok","Rp 404.000.000","2","1","36","66","","","yes","","yes","yes","",""
"https://www.lamudi.co.id/hunian-strategis-diskon-20-juta-sawangan-depok-legalitas-shm.html","Hunian Strategis, Diskon 20 Juta Sawangan Depok, Legalitas SHM","jalan Raya Pasir putih sawangan Depok Sawangan, Depok","Rp 451.000.000","2","1","42","72","2","yes","yes","","yes","yes","",""
"https://www.lamudi.co.id/cluster-bukit-petro-property-sawangan-depok-akses-tol-depok.html","Cluster bukit petro property sawangan depok akses tol depok","Cluster bukit petro Sawangan, Depok","Rp 970.000.000","2","1","65","150","2","yes","yes","","","yes","",""
"https://www.lamudi.co.id/cluster-green-bukit-petro-dekat-fasilitas-publik-tanpa-dp.html","Cluster green bukit petro, dekat fasilitas publik, tanpa DP","Cluster green bukit petro Sawangan, Depok","Rp 500.000.000","2","1","42","72","1","yes","yes","yes","","yes","",""
"https://www.lamudi.co.id/rumah-2-lantai-harga-1-lantai-hanya-500-juta-all-i-16643440094.html","Rumah 2 Lantai Harga 1 Lantai Hanya 500 Juta All in di Tole Iskandar Depok","Jl. Tole Iskandar Depok Sukmajaya, Depok","Rp 570.000.000","2","2","50","40","1","yes","yes","","","","",""
"https://www.lamudi.co.id/rumah-mewah-readystock-20menit-ke-tol-sawangan-4.html","Rumah Mewah READYSTOCK 20menit ke Tol Sawangan 4","Sawangan Baru, Depok","Rp 750.000.000","3","2","70","72","2","yes","yes","","","","",""
"https://www.lamudi.co.id/rumah-minimalis-siap-dihuni-kpr-tanpa-dp-166548256628.html","Rumah minimalis siap dihuni,KPR tanpa DP","Kalimulya, Depok","Rp 6.510.000.000","2","2","60","87","1","yes","yes","","","yes","",""
"https://www.lamudi.co.id/352-new-cluster-2lantai-dlm-cluster-free-biaya-di-166013628277.html","352.New Cluster 2lantai dlm cluster free biaya di area selatan Jakarta","parakan cinangka sawangan depok Cinangka, Depok","Rp 845.000.000","3","2","60","70","1","","","","","","",""
"https://www.lamudi.co.id/dijual-rumah-siap-huni-161.html","dijual rumah siap huni","Sawangan, Depok","Rp 800.000.000","2","1","45","125","1","yes","yes","","","","",""
"https://www.lamudi.co.id/rumah-murah-depok-166796763922.html","Rumah Murah Depok","Kalimulya, Depok","Rp 460.000.000","2","1","38","79","1","yes","yes","","","","1",""
"https://www.lamudi.co.id/banjir-promo-rumah-2-lantai-di-depok-dapatkan-unitnya-sekarang.html","Banjir Promo Rumah 2 Lantai Di Depok, Dapatkan Unitnya Sekarang.","Jl. Taklim, Nangka Rangkapanjaya Pancoran Mas, Depok","Rp 674.000.000","3","2","60","62","1","","","","","","",""
"https://www.lamudi.co.id/perumahan-murah-depok-166856739123.html","perumahan murah depok","Cipayung Jaya, Depok","Rp 195.000.000","2","1","30","40","","","","","","yes","",""
"https://www.lamudi.co.id/rumah-2-lantai-dp-0-angsuran-mulai-dari-4-jtan-flat.html","Rumah 2 lantai DP 0% angsuran mulai dari 4 jtan flat","Sukmajaya, Depok","Rp 650.000.000","3","2","55","80","","yes","yes","","yes","yes","",""
"https://www.lamudi.co.id/dijual-rumah-2-lantai-skandinavian-modern-di-depok-16681615990.html","DIJUAL RUMAH 2 LANTAI SKANDINAVIAN MODERN DI DEPOK","Cilangkap Tapos Cilangkap, Depok","Rp 885.000.000","3","2","74","62","2","","","","","","",""
"https://www.lamudi.co.id/tr141-hunian-mewah-dlm-cluster-di-tanah-baru-depok-166748902711.html","Tr141.Hunian Mewah Dlm Cluster di Tanah baru Depok nempel Jaksel","Tanah Baru Beji depok Tanah Baru, Depok","Rp 1.300.000.000","3","3","122","82","1","","","","","","",""
"https://www.lamudi.co.id/tr148-rumah-second-dlm-perum-one-gate-system-luas-166752249657.html","Tr148.Rumah Second Dlm Perum One Gate Sistem Luas 161 Only Cash Depok","Tanah Baru Beji Depok Tanah Baru, Depok","Rp 1.200.000.000","5","3","250","161","2","","","","","","",""
"https://www.lamudi.co.id/kk135-brand-new-cluster-tanah-baru-beji-hrg-mulai-166792116635.html","Kk135.Brand New Cluster Tanah Baru Beji Hrg Mulai 1M-an Selatan Jkrt","tanah baru beji depok Tanah Baru, Depok","Rp 1.120.000.000","3","2","100","95","1","","","","","","",""
"https://www.lamudi.co.id/cluster-mewah-konsep-jepang-bisa-kpr-cicilan-cuma-11-jutaan.html","CLUSTER MEWAH KONSEP JEPANG, BISA KPR, CICILAN CUMA 11 JUTAAN","Depok","Rp 1.700.000.000","3","4","109","112","2","yes","yes","yes","yes","","",""
"https://www.lamudi.co.id/dijual-rumah-di-depok-siap-huni-1.html","dijual rumah di depok siap huni","jl. herman tajir, pondok petir, depok Pancoran Mas, Depok","Rp 800.000.000","2","1","45","125","","yes","yes","","","","",""
"https://www.lamudi.co.id/rumah-cantik-ala-bali-di-kota-depok-dekat-ke-tol-d-166479096455.html","Rumah Murah Ala Bali Di Selatan Jakarta, 30 Menit ke Pondok Indah Mall.","Sawangan, Depok","Rp 599.000.000","2","1","38","68","","yes","yes","","yes","yes","",""
"https://www.lamudi.co.id/rumah-super-mewah-dekat-tol-bandara-ready-gratis-b-166002293478.html","Rumah SUPER MEWAH Dekat Tol & LRT 500JTan GRATIS BIAYA2 sampai AKAD","Radar Auri Cimanggis Depok - Cibubur Cimanggis, Depok","Rp 500.000.000","3","2","72","50","2","yes","yes","","yes","","2",""
"https://www.lamudi.co.id/perumahan-strategis-akses-tol-sawangan-dp-0-booking-fee-3jt-free-biaya-biaya.html","Perumahan strategis akses tol sawangan, DP 0% BOOKING FEE 3JT FREE BIAYA BIAYA","Jalan raya Muchtar, cluster bukit petro Sawangan, Depok","Rp 731.400.000","2","1","42","89","1","yes","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-baru-yang-sangat-indah-dan-bagus-16616801460.html","rumah baru yang sangat indah dan bagus","Depok, Depok","Rp 300.000.000","2","1","","","","","","","","","",""
"https://www.lamudi.co.id/jual-rumah-minimalis-cluster-cinangka-depok.html","Jual Rumah Minimalis Cluster Cinangka Depok","Cinangka, Depok","Rp 619.500.000","2","1","38","75","","","","","","","1",""
"https://www.lamudi.co.id/rumah-2-lantai-dalam-komplek-pertamina-harjamukti-165901261641.html","RUMAH 2 LANTAI DALAM KOMPLEK PERTAMINA HARJAMUKTI DEPOK, BERSAING","komplek pertamina Harjamukti, Depok","Rp 1.280.000.000","3","2","103","120","2","yes","yes","","","","",""
"https://www.lamudi.co.id/rumah-mewah-2-lantai-di-pinggir-jalan-propinsi.html","Rumah mewah 2.Lantai di Pinggir Jalan Propinsi","Cinangka, Depok","Rp 1.399.000.000","3","2","90","105","1","yes","yes","yes","yes","","",""
"https://www.lamudi.co.id/mantap-hanya-dengan-10-juta-dapat-rumah-model-keren.html","mantap hanya dengan 10 juta dapat rumah model keren","Depok, Depok","Rp 780.000.000","2","1","","45","","yes","","","","","",""
"https://www.lamudi.co.id/rumah-mewah-1-lantai-dekat-alun-alun-kota-depok.html","Rumah MEWAH 1 Lantai dekat Alun - alun Kota Depok","Jl. Boulevard Grand Depok City Jl. Ruko Anggrek 1 No.21, Tirtajaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16412, Indonesia Depok, Depok","Rp 780.000.000","2","1","45","112","1","yes","","","","yes","",""
"https://www.lamudi.co.id/dijual-rumah-baru-termurah-pasir-putih-sawangan-depok.html","Dijual Rumah Baru Termurah - Pasir Putih, Sawangan, Depok","Sawangan, Depok","Rp 135.000.000","2","1","28","28","","","","","","","",""
"https://www.lamudi.co.id/dijual-kontrakan-14-pintu-dgn-lt-1130m2-di-kemiri-muka-margonda-depok.html","Dijual kontrakan 14 pintu dgn LT: 1130m² di kemiri muka Margonda Depok","Margonda Depok Kemiri Muka, Depok","Rp 10.000.000.000","14","14","45","11300","10","","yes","","","","1",""
"https://www.lamudi.co.id/rumah-murah-200jt-pasir-putih-sawangan-depok-166453600895.html","Rumah murah 200jt Pasir Putih sawangan Depok","Pasir Putih, Depok","Rp 200.000.000","2","1","30","32","","","","","","","",""
"https://www.lamudi.co.id/rumah-cluster-ter-murah-di-sawangan-depok-garda-residence-harga-nego.html","RUMAH CLUSTER TER MURAH DI SAWANGAN DEPOK GARDA RESIDENCE (HARGA NEGO)","Jl. Jati No.27, RW.3, Sawangan Baru, Kec. Sawangan, Kota Depok, Jawa Barat 16511 Sawangan, Depok","Rp 290.000.000","2","1","36","55","","yes","yes","","yes","yes","",""
"https://www.lamudi.co.id/rumah-secondary-terawat-dekat-tol-brigif-depok.html","Rumah Secondary Terawat Dekat Tol Brigif Depok","Jln tanah baru krukut depok Tanah Baru, Depok","Rp 900.000.000","2","2","70","100","1","","","","","","",""
"https://www.lamudi.co.id/rumah-cicilan-3-jt-an-di-pamulang-akses-ciputat-ga-16598924527.html","Cluster di rumah jual murah Akses Karang Tengah","Sky HiLL Baktijaya, Depok","Rp 477.000.000","2","2","45","60","","yes","yes","","yes","yes","",""
"https://www.lamudi.co.id/miliki-hunian-cantik-2-lt-lingkungan-islami-di-sawangan-depok-hanya-400jutaan.html","Miliki Hunian Cantik 2 LT Lingkungan Islami di Sawangan Depok Hanya 400jutaan","Pengasinan Sawangan Depok Sawangan, Depok","Rp 492.000.000","2","1","40","54","1","yes","","","yes","","",""
"https://www.lamudi.co.id/hot-sale-rumah-mewah-harga-murah-meriah-sudah-free-kitchen-set.html","HOT SALE RUMAH MEWAH HARGA MURAH MERIAH SUDAH FREE KITCHEN SET","Jl.raya nanggerang citayam Citayam, Depok","Rp 200.000.000","2","1","30","50","1","yes","yes","","","","",""
"https://www.lamudi.co.id/5-menit-ke-stasiun-depok-lama-cluster-mewah-tanpa-dp.html","5 menit ke stasiun Depok lama cluster mewah tanpa DP","Sukmajaya, Depok","Rp 980.000.000","3","3","70","78","","yes","yes","","yes","yes","",""
"https://www.lamudi.co.id/br-961-rumah-dijual-siap-huni-griya-depok-asri.html","BR 961 Rumah dijual siap huni griya depok asri","depok Cilodong, Depok","Rp 1.150.000.000","3","1","60","125","1","","yes","","","","",""
"https://www.lamudi.co.id/dijual-rumah-siap-huni-di-mampang-indah-depok.html","DiJual Rumah Siap Huni di Mampang Indah Depok","Mampang, Depok","Rp 1.700.000.000","3","2","150","248","","","","","","","",""
"https://www.lamudi.co.id/tr139-new-brand-cluster-2t-ltstrategis-di-tanah-ba-166748704067.html","Tr139.New Brand Cluster 2t LtStrategis di Tanah baru Dpk nempel Jaksel","Tanah Baru Beji Depok Tanah Baru, Depok","Rp 1.450.000.000","3","3","110","91","1","","","","","","",""
