rumah_url,rumah_nama,rumah_lokasi,rumah_harga,rumah_kamar_tidur,rumah_kamar_mandi,rumah_luas_bangunan,rumah_luas_lahan,rumah_lahan_parkir,rumah_jumlah_lantai,rumah_AC,rumah_taman,rumah_keamanan,rumah_balcony,rumah_fully_furnished,rumah_kolam_renang
https://www.lamudi.co.id/rumah-minimalis-di-cimanggis-166562776215.html,"Rumah Dijual di Pekapuran, Cimanggis","Cimanggis, Depok",Rp 685.000.000,2,1,90,90,,,,,,,,
https://www.lamudi.co.id/rumah-perum-diamond-golden-cinere-siap-huni-bisa-k-166193627931.html,diamond golden cinere rumah siap huni kpr/cash dibantu sampai akad,"perum diamond golden cinere Limo, Depok",Rp 999.000.000,3,2,75,96,1,2,,,,,,
https://www.lamudi.co.id/hunian-dengan-model-scandinavian-di-sawangan-166685033223.html,Hunian Dengan Model Scandinavian di Sawangan,"Jalan Haji Sulaeman, Depok 16519, Indonesia Sawangan, Depok",Rp 445.000.000,2,1,42,60,2,1,yes,yes,yes,yes,,
https://www.lamudi.co.id/rumah-dijual-the-akasia-sawangan-depok-minimalis-k-167051078929.html,Rumah dijual the akasia sawangan depok minimalis kpr all in,"bojongsari sawangan depok Sawangan, Depok",Rp 1.350.000.000,3,2,75,124,1,,,,,,,
https://www.lamudi.co.id/rumah-mewah-view-golf-akses-ke-tol-nol-kilometer-167102034288.html,RUMAH MEWAH VIEW GOLF AKSES KE TOL NOL KILOMETER,"Cimanggis, Depok",Rp 2.145.000.000,3,2,92,96,,,,,,,,
https://www.lamudi.co.id/rumah-tanpa-dp-dekat-stasiun-167186932883.html,Rumah tanpa DP dekat stasiun,"Depok, Depok",Rp 450.000.000,2,1,36,60,1,,yes,yes,yes,,,
https://www.lamudi.co.id/prestige-sawangan-tipe-52-166450099167.html,Prestige Sawangan Tipe 52,"Jl. Jati, RT.03/rw04, Sawangan Baru, Sawangan, Depok",Rp 559.000.000,3,1,52,60,1,,,yes,yes,yes,Tidak,
https://www.lamudi.co.id/rumah-ready-stok-pinggir-jalan-raya-kalimulya-depo-167206640098.html,Rumah Ready stok pinggir jalan raya Kalimulya Depok,"Kalimulya, Depok",Rp 650.000.000,3,1,38,60,,,,,,,,
https://www.lamudi.co.id/cluster-rumah-500-jtan-kpr-bank-syariah-free-all-b-166476570942.html,Cluster Rumah 500 Jtan KPR Bank Syariah Free All Biaya Dp 5 Juta,"Jln. Swadaya Kp Bulak Rt . 004 Rw. 002 Kel, Kalibaru Kec, Cilodong, Depok, Depok Kota Cilodong, Depok",Rp 588.806.000,2,2,40,68,1,,,yes,yes,yes,,
https://www.lamudi.co.id/rumah-murah-citayam-167223068581.html,rumah murah Citayam,"Citayam, Depok",Rp 225.000.000,2,1,36,55,,,,,,,,
https://www.lamudi.co.id/rumah-minimalis-siap-huni-dijual.html,Rumah minimalis siap huni Dijual,"Jl. Rawasari 2 No. 50 RT 004/05. Cipayung jaya, Cipayung, Depok Cipayung, Depok",Rp 535.000.000,2,1,48,78,1,,,yes,,,,
https://www.lamudi.co.id/perumahan-lemirage-hill-166953395584.html,perumahan lemirage Hill,"Cinangka, Depok",Rp 529.000.000,2,1,45,75,,,,yes,yes,,,
