"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_AC","rumah_taman","rumah_kolam_renang","rumah_balcony","rumah_keamanan","rumah_lahan_parkir","rumah_jumlah_lantai","rumah_fully_furnished"
"https://www.lamudi.co.id/ready-stock-siap-di-huni-dp-15-juta-16728147611.html","Ready stock siap di huni, dp 15 juta","Sawangan, Depok","Rp 795.000.000","3","2","70","70","yes","yes","","","","","",""
"https://www.lamudi.co.id/gdc-rumah-ready-stock-siap-si-huni-167281475133.html","GDC, rumah ready Stock siap si huni","Limo, Depok","Rp 980.000.000","3","2","80","80","yes","yes","","","","","",""
"https://www.lamudi.co.id/beji-rumah-ready-stock-siap-di-huni-167281475582.html","Beji, rumah ready Stock siap di huni","Pancoran Mas, Depok","Rp 1.000.000.000","3","2","100","72","yes","yes","","","","","",""
"https://www.lamudi.co.id/cilodong-rumah-siap-di-huni-tanpa-dp-167281475616.html","Cilodong, rumah siap di huni tanpa dp","Pancoran Mas, Depok","Rp 950.000.000","3","3","75","80","yes","yes","","","","","",""
"https://www.lamudi.co.id/cluster-terlaris-unit-terakhir-167281477580.html","Cluster terlaris unit terakhir","Sawangan, Depok","Rp 500.000.000","2","1","45","78","yes","yes","","","","","",""
"https://www.lamudi.co.id/rumah-keren-bergaya-altic-dekat-tol-167281475955.html","Rumah keren bergaya altic dekat tol","Pancoran Mas, Depok","Rp 1.125.000.000","3","3","100","72","yes","yes","","","","","",""
"https://www.lamudi.co.id/bojongsari-5-juta-rumah-ada-kolam-renang-pribadi-167281483375.html","Bojongsari, 5 juta rumah ada kolam renang pribadi","Limo, Depok","Rp 1.600.000.000","3","3","100","107","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/beji-cluster-dekat-kampus-ui-tol-kukusan-167281483017.html","Beji, cluster dekat kampus UI & Tol Kukusan","Pancoran Mas, Depok","Rp 950.000.000","3","3","80","60","yes","yes","","","","","",""
"https://www.lamudi.co.id/pancoran-mas-rumah-dekat-tol-interior-menarik-167281481946.html","Pancoran mas, rumah dekat tol interior menarik","Beji, Depok","Rp 1.150.000.000","3","3","100","70","yes","yes","","","","","",""
"https://www.lamudi.co.id/pancoran-mas-ready-stock-tanah-besar-di-atas-90m-167281483967.html","Pancoran mas, ready stock tanah besar di atas 90m","Pancoran Mas, Depok","Rp 800.000.000","3","2","70","90","yes","yes","","","","","",""
