"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_jumlah_lantai","rumah_taman","rumah_keamanan","rumah_balcony","rumah_AC","rumah_kolam_renang","rumah_fully_furnished"
"https://www.lamudi.co.id/cluster-2-lantai-dengan-gaya-bali-dekat-stasiun-depok-lama.html","Cluster 2 lantai Dengan gaya Bali dekat stasiun Depok lama","Gdc Cilodong Depok Cilodong, Depok","Rp 699.000.000","50","1","3","2","60","2","yes","yes","","","",""
"https://www.lamudi.co.id/di-jual-rumah-raffles-hills-cibubur-2.html","Di Jual Rumah Raffles Hills Cibubur","Jl. Alternatif Cibubur Cimanggis, Depok","Rp 1.000.000.000","96","","3","2","100","","","","","","",""
"https://www.lamudi.co.id/cluster-2-lantai-mekarsari-cimanggis-depok-dekat-tol-cijago.html","Cluster 2 lantai Mekarsari Cimanggis Depok dekat tol Cijago","Jln Mekarsari raya Cimanggis, Depok","Rp 741.000.000","58","1","3","2","54","2","yes","yes","yes","","",""
"https://www.lamudi.co.id/rumah-2-lantai-di-cimanggis-depok-1.html","Rumah 2 Lantai di Cimanggis, Depok","Jalan Kapitan Raya No.47, Cimanggiss, Depokk Cimanggis, Depok","Rp 770.000.000","72","1","3","2","72","","yes","yes","yes","","",""
"https://www.lamudi.co.id/rumah-mewah-2-lantai-di-depok-700-jtan-sg-noey.html","Rumah Mewah 2 Lantai Di Depok 700 Jtan (SG-Noey)","Sukmajaya Sukmajaya, Depok","Rp 768.000.000","59","","2","2","51","","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-cimanggis-golf-view.html","Rumah čimanggis golf view","Cimangis Cimanggis, Depok","Rp 2.000.000.000","90","1","2","2","150","","","","","","",""
"https://www.lamudi.co.id/perumahan-lokasi-strategis-sawangan-depok-165975576157.html","RUMAH IDAMAN DI SAWANGAN DEPOK","Sawangan, Depok","Rp 445.000.000","60","1","2","1","36","","","","","","",""
"https://www.lamudi.co.id/hunian-strategis-500-jutaan-siap-huni-seberang-tol-sawangan-pancoran-mas-6.html","Hunian Strategis 500 Jutaan Siap Huni, Seberang Tol Sawangan - Pancoran Mas","Cipayung Jaya, Depok","Rp 551.550.000","66","1","2","1","45","","yes","","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-di-alam-sutera-sawangan.html","Rumah 2 Lantai di Alam Sutera Sawangan","Sawangan, Depok","Rp 1.000.000.000","80","2","3","2","70","","yes","yes","yes","yes","",""
"https://www.lamudi.co.id/selangkah-ke-pintu-toll-cuma-10-jt-sampai-akad-1.html","Selangkah Ke Pintu Toll Cuma 10 Jt Sampai Akad","Sawangan, Depok","Rp 635.000.000","104","","3","1","55","","","","","","",""
"https://www.lamudi.co.id/dijual-cepat-rumah-secondary-dalam-perumahan-green-166053227331.html","Dijual Cepat Rumah Secondary Dalam Perumahan Green Land Sawangan","Green Land Bojongsari Sawangan, Depok","Rp 510.000.000","73","1","2","1","38","","yes","yes","","yes","yes",""
"https://www.lamudi.co.id/rumah-ready-di-pasir-putih-depok-sertifikat-shm-166988740056.html","RUMAH READY di Pasir Putih Depok - Sertifikat SHM.","Pasir Putih, Depok","Rp 635.000.000","87","","2","2","50","","","","","","",""
"https://www.lamudi.co.id/rumah-nyaman-di-rangkapan-jaya-depok-16675699821.html","rumah nyaman di rangkapan jaya depok","Rangkapan Jaya, Depok","Rp 1.600.000.000","252","","4","3","240","","","","","","",""
"https://www.lamudi.co.id/dijual-rumah-murah-depok-taman-sari.html","Dijual rumah murah Depok Taman sari","Depok","Rp 790.000.000","110","","3","2","57","","","","","","",""
"https://www.lamudi.co.id/di-pasarkan-rumah-selatan-jakarta.html","DI PASARKAN RUMAH SELATAN JAKARTA","Jln. H. Muhari kav DPR Serua Bojongsai DepokRt. 003 Rw. 001 Bojongsari Baru, Depok","Rp 850.000.000","110","1","2","1","48","","yes","","","","",""
"https://www.lamudi.co.id/hunian-1-lantai-tanpa-dp-proses-di-bantu-sampai-akad.html","Hunian 1 lantai tanpa DP proses di bantu sampai akad","Sukmajaya, Depok","Rp 800.000.000","103","","3","2","65","","yes","","","yes","",""
