"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_jumlah_lantai","rumah_AC","rumah_taman","rumah_keamanan","rumah_balcony","rumah_kolam_renang","rumah_fully_furnished"
"https://www.lamudi.co.id/cukup-dengan-niat-proses-di-bantu-dp-0-165864548192.html","CUKUP DENGAN NIAT PROSES DI BANTU DP 0%","JL.AR RAHMAN KALIBARU CILODONG KOTA DEPOK Cimanggis, Depok","Rp 885.000.000","76","1","3","2","80","2","yes","yes","yes","yes","",""
"https://www.lamudi.co.id/woww-banget-2-lantai-dp-0-165906748073.html","WOWW BANGET 2 LANTAI DP 0%","JL.AR RAHAMAN KALIBARU CILODONG DEPOK Sukmajaya, Depok","Rp 885.000.000","76","1","3","2","80","2","yes","yes","yes","yes","",""
"https://www.lamudi.co.id/dp-0-rumah-siap-huni-di-depok-165993076943.html","DP 0% RUMAH SIAP HUNI DI DEPOK","JL.MANDOR DAMI KALIMULYA KOTA DEPOK Sukmajaya, Depok","Rp 720.000.000","90","1","2","2","60","1","yes","yes","yes","","",""
"https://www.lamudi.co.id/yuk-dapatkan-rumah-ready-dp-0-166054454545.html","YUK DAPATKAN RUMAH READY DP 0%","JL.H HUSIN KALIMULYA KOTA DEPOK Cilodong, Depok","Rp 530.000.000","66","1","2","1","40","1","yes","yes","yes","","",""
"https://www.lamudi.co.id/bebas-biaya-rumah-2-lantai-di-depok-166080366852.html","BEBAS BIAYA RUMAH 2 LANTAI DI DEPOK","JL.KAV IP KALIMULYA CILODONG KOTA DEPOK Cilodong, Depok","Rp 895.000.000","73","1","3","2","70","","yes","yes","yes","yes","",""
"https://www.lamudi.co.id/tanpa-dp-rumah-baru-siap-huni-dp-0-166209630452.html","TANPA DP RUMAH BARU SIAP HUNI DP 0%","jl.h husin kalimulya kota depok Cilodong, Depok","Rp 550.000.000","68","1","2","1","45","2","yes","yes","yes","","",""
"https://www.lamudi.co.id/rumah-cicilan-4-jutaan-tanpa-dp-166416763023.html","RUMAH CICILAN 4 JUTAAN TANPA DP","JL.KATIM PLAZA KALIMULYA KOTA DEPOK Cimanggis, Depok","Rp 680.000.000","74","1","2","2","50","1","yes","yes","yes","","",""
"https://www.lamudi.co.id/langsung-huni-rumah-kpr-dp-0-166771800237.html","LANGSUNG HUNI RUMAH KPR DP 0%","JL.KAV BRI KALIBARU CILODONG DEPOK Sukmajaya, Depok","Rp 890.000.000","70","1","3","3","70","2","yes","yes","yes","yes","",""
"https://www.lamudi.co.id/sangat-ekonomis-hunian-ready-dp-0-167194382656.html","SANGAT EKONOMIS HUNIAN READY DP 0%","JL.H THARIN KALIBARU CILODONG DEPOK Cilodong, Depok","Rp 610.000.000","61","1","2","1","36","1","yes","yes","","yes","",""
"https://www.lamudi.co.id/rumah-ideal-dp-0-di-cilodong-cimanggis-166926126539.html","Rumah Ideal DP 0% Di Cilodong - Cimanggis","Depok, Depok","Rp 821.300.000","70","","2","1","40","","","yes","yes","","",""
