rumah_url,rumah_nama,rumah_lokasi,rumah_harga,rumah_kamar_tidur,rumah_kamar_mandi,rumah_luas_bangunan,rumah_luas_lahan,rumah_fully_furnished,rumah_keamanan,rumah_kolam_renang,rumah_taman,rumah_lahan_parkir,rumah_jumlah_lantai,rumah_balcony,rumah_AC
https://www.lamudi.co.id/rumah-second-termurah-di-kelasnya-166195792622.html,Rumah second termurah di kelasnya,"Kelapa Dua, Depok",Rp 580.000.000,2.0,1.0,36.0,60.0,,,,,,,,
https://www.lamudi.co.id/gdc-depok-166841570820.html,Dijual Rumah di GDC Depok,"Grand Dahlia Cluster Jatimulya Cilodong Depok Cilodong, Depok",Rp 611.000.000,2.0,2.0,48.0,45.0,Tidak,yes,yes,yes,,,,
https://www.lamudi.co.id/permata-cimanggis-166358308779.html,RUMAH DIJUAL DI PERMATA CIMANGGIS,Depok,Rp 853.000.000,2.0,1.0,45.0,84.0,,,yes,yes,1.0,,,
https://www.lamudi.co.id/rumah-murah-dalam-cluster-di-bojongsari-depok-hanya-400jtan.html,"Rumah Murah dalam Cluster di Bojongsari, hanya 400jtan","Bojongsari, Depok",Rp 453.000.000,2.0,1.0,36.0,75.0,,,,,,,,
https://www.lamudi.co.id/rumah-minimalis-strategis-dekat-sawangan-siap-huni-harga-nego-bisa-kpr.html,Rumah Minimalis Strategis Dekat Sawangan Siap Huni Harga All In Nego Bisa KPR,"Sawangan, Depok",Rp 780.000.000,2.0,1.0,42.0,72.0,,yes,,yes,1.0,1.0,,
https://www.lamudi.co.id/rumah-2-lantai-siap-huni-bisa-kpr-dekat-gerbang-to-166169738875.html,Rumah 2 Lantai Siap Huni Bisa KPR Dekat Gerbang Tol Cimanggis Harga All In,"Cimanggis, Depok",Rp 2.040.000.000,3.0,2.0,121.0,130.0,,yes,,yes,1.0,2.0,yes,
https://www.lamudi.co.id/gdc-tajur-halang-1.html,GDC Tajur Halang,"Jl. Pemuda Raya, Sasak Panjang, Tajur Halang, Bogor Citayam, Depok",Rp 372.700.000,2.0,1.0,36.0,84.0,Semi,,,,,,,
https://www.lamudi.co.id/cluster-bali-2-lantai-nempel-gdc-depok-lokasi-stra-167109405981.html,Cluster Nempel GDC Depok Free Biaya cuma 8 menit ke stasiun depok lama,"jln raya kalimulya cilodong kota depok Cilodong, Depok",Rp 742.000.000,3.0,2.0,60.0,53.0,,yes,,yes,2.0,,yes,yes
https://www.lamudi.co.id/rumah-murah-2-lantai-sekota-depok-tanpa-dp-167203602119.html,Rumah Murah 2 Lantai Sekota Depok Tanpa DP,"Jalan Panggulan, Depok 16518, Indonesia Sawangan, Depok",Rp 487.500.000,3.0,2.0,44.0,57.0,,,,,,,,
https://www.lamudi.co.id/jual-cepat-rumah-luas-bebas-banjir-dekat-cinere-harga-nego-bisa-kpr.html,Jual Cepat Rumah Luas Bebas Banjir Dekat Cinere Harga All In Nego Bisa KPR,"Jalan Pondok Cabe Indah Cinere, Depok",Rp 1.080.000.000,3.0,2.0,160.0,165.0,,yes,,yes,1.0,1.0,,
https://www.lamudi.co.id/rumah-townhouse-bojongsari-depok.html,Rumah townhouse bojongsari depok,"Bojongsari, Depok",Rp 655.000.000,2.0,1.0,40.0,75.0,,,,yes,1.0,,,
https://www.lamudi.co.id/rumah-asri-strategis-di-griya-melati-mas-depok-har-165890818266.html,Rumah Asri Strategis di Griya Melati Mas Depok Harga All In Nego Siap KPR,"Cilodong, Depok",Rp 780.000.000,3.0,1.0,68.0,98.0,,yes,,yes,1.0,1.0,,
