lokasi,kamar_tidur,kamar_mandi,luas_bangunan,luas_lahan,keamanan24jam,taman,balcony,AC,harga
cimanggis,3,1,80.0,108.0,no,yes,no,no,875000000
bojongsari,2,1,45.0,84.0,yes,yes,no,no,917500000
depok,2,1,50.0,60.0,no,no,no,no,320000000
sukmajaya,3,3,80.0,78.0,yes,yes,yes,yes,1050000000
sawangan,3,2,72.0,70.0,no,no,no,no,887200000
pancoran mas,3,2,98.0,70.0,yes,yes,yes,no,850000000
pancoran mas,3,2,150.0,84.0,no,no,no,no,670000000
sawangan,3,4,110.0,112.0,yes,yes,no,no,1771601000
sukmajaya,3,2,65.0,65.0,no,yes,yes,yes,810000000
cinere,3,2,72.0,60.0,yes,yes,yes,yes,790000000
pancoran mas,2,1,45.0,72.0,no,yes,no,yes,500000000
cilodong,2,1,45.0,72.0,yes,yes,no,no,600000000
cilodong,1,1,26.0,40.0,no,no,no,no,200000000
sawangan,2,1,39.0,42.0,yes,no,no,no,442250000
beji,3,3,110.0,72.0,yes,yes,no,yes,1493500000
cilodong,3,3,80.0,80.0,no,no,yes,yes,925000000
sawangan,3,2,60.0,70.0,no,no,no,no,845000000
cinere,2,1,38.0,68.0,yes,yes,no,yes,654000000
cilodong,3,3,80.0,78.0,yes,yes,yes,yes,920000000
bojongsari,2,1,40.0,75.0,no,yes,no,no,655000000
tapos,3,2,56.0,64.0,yes,yes,yes,no,676000000
beji,2,1,45.0,73.0,no,yes,no,no,592150000
beji,2,2,36.0,72.0,no,yes,no,yes,425000000
sawangan,2,1,40.0,90.0,yes,yes,no,no,610528500
bojongsari,2,1,45.0,84.0,yes,yes,yes,no,872500000
beji,3,3,140.0,100.0,no,yes,no,yes,1350000000
cilodong,3,2,85.0,70.0,no,yes,yes,yes,775000000
cimanggis,3,2,77.0,60.0,yes,yes,yes,no,835950000
tapos,2,1,105.0,60.0,no,no,no,no,899000000
cimanggis,3,2,60.0,46.0,no,no,no,no,725000000
sawangan,2,2,55.0,63.0,no,no,no,no,741000000
sawangan,2,1,50.0,65.0,yes,yes,no,yes,650000000
cipayung,2,1,36.0,62.0,yes,yes,no,yes,350000000
bojongsari,2,1,72.0,50.0,yes,yes,no,yes,650000000
cilodong,3,1,60.0,125.0,yes,no,no,no,1150000000
cimanggis,3,2,90.0,90.0,yes,yes,yes,yes,1526200000
sukmajaya,3,2,61.0,63.0,yes,yes,no,no,909000000
sawangan,3,2,72.0,121.0,yes,yes,yes,yes,1121000000
depok,2,2,42.0,40.0,no,no,no,no,595000000
cilodong,3,1,68.0,98.0,yes,yes,no,no,780000000
sawangan,2,1,40.0,54.0,yes,yes,yes,no,400000000
beji,3,1,103.0,133.0,yes,yes,yes,no,1680000000
depok,2,1,38.0,60.0,no,no,no,no,794117600
bojongsari,3,2,45.0,60.0,no,yes,no,yes,594000000
depok,2,2,65.0,90.0,no,no,no,no,1200000000
cilodong,3,2,140.0,72.0,yes,yes,yes,yes,1200000000
pancoran mas,3,2,100.0,72.0,no,yes,no,yes,1000000000
cimanggis,3,2,72.0,50.0,yes,yes,yes,no,500000000
cimanggis,2,1,31.0,52.0,yes,yes,no,yes,430000000
sukmajaya,2,2,51.0,72.0,no,yes,no,yes,857000000
cipayung,2,1,36.0,72.0,no,no,no,no,330000000
beji,3,2,70.0,45.0,yes,yes,yes,no,750000000
cinere,3,3,98.0,70.0,yes,yes,no,no,1493461000
beji,4,3,80.0,90.0,yes,yes,no,no,1050000000
depok,2,1,45.0,60.0,no,yes,no,no,465000000
pancoran mas,2,1,48.0,72.0,yes,yes,no,no,577000000
cilodong,2,2,40.0,47.0,no,no,yes,no,496000000
cilodong,2,1,58.0,84.0,no,no,no,no,489000000
cinere,3,2,94.0,60.0,yes,no,no,no,1250000000
bojongsari,3,3,87.0,79.0,yes,yes,yes,no,1327500000
beji,3,2,80.0,72.0,no,no,no,no,1600000000
sukmajaya,3,3,80.0,60.0,no,no,no,yes,850000000
tapos,2,1,60.0,105.0,yes,yes,no,no,899000000
cilodong,2,1,40.0,68.0,yes,yes,no,yes,550000000
cinere,2,1,40.0,63.0,no,yes,no,yes,484000000
pancoran mas,2,3,57.0,84.0,no,no,no,no,735000000
pancoran mas,2,2,60.0,79.0,no,no,no,no,695000000
sawangan,2,1,45.0,60.0,yes,yes,no,no,485000000
tapos,2,2,46.0,40.0,no,no,no,no,556000000
cinere,4,4,140.0,110.0,yes,yes,no,no,2640000000
beji,2,1,45.0,73.0,no,yes,no,yes,654500000
cilodong,4,2,62.0,60.0,yes,yes,no,no,750000000
cimanggis,3,2,100.0,120.0,yes,yes,yes,yes,1398000000
limo,3,2,60.0,50.0,no,yes,no,yes,590000000
cimanggis,2,1,40.0,70.0,yes,no,no,yes,550000000
depok,3,2,60.0,74.0,yes,yes,yes,yes,850000000
cilodong,3,3,70.0,81.0,no,yes,no,yes,980000000
limo,3,2,90.0,110.0,yes,yes,no,no,800000000
sukmajaya,3,3,80.0,87.0,yes,yes,yes,yes,1050000000
pancoran mas,2,2,60.0,90.0,yes,yes,no,yes,685000000
cilodong,2,2,60.0,90.0,no,no,no,no,685000000
beji,2,1,36.0,60.0,no,yes,no,no,360000000
beji,3,3,130.0,130.0,no,no,no,no,1300000000
cipayung,2,1,30.0,50.0,yes,yes,no,yes,200000000
tapos,2,1,69.0,61.0,yes,yes,yes,no,700000000
cilodong,2,2,40.0,45.0,no,no,no,no,474000000
pancoran mas,3,2,73.0,66.0,no,yes,no,yes,1000000000
sukmajaya,3,2,70.0,70.0,yes,no,no,yes,810000000
tapos,2,1,30.0,57.0,yes,yes,no,yes,498000000
sawangan,3,2,90.0,105.0,yes,yes,yes,no,1399000000
sukmajaya,2,1,45.0,67.0,no,no,no,no,745000000
depok,2,1,36.0,50.0,yes,yes,no,yes,185000000
beji,3,2,80.0,76.0,yes,yes,yes,yes,885000000
sawangan,3,2,65.0,70.0,yes,yes,yes,yes,718726912
cilodong,3,3,80.0,90.0,no,yes,yes,yes,915000000
depok,2,1,30.0,60.0,yes,yes,no,no,430000000
cilodong,3,3,85.0,75.0,yes,yes,yes,yes,900000000
sawangan,2,1,45.0,74.0,yes,yes,no,no,575000000
pancoran mas,3,2,70.0,72.0,yes,yes,no,yes,800000000
sawangan,3,2,60.0,85.0,yes,yes,no,yes,585000000
pancoran mas,3,2,90.0,72.0,yes,yes,yes,no,1380000000
sawangan,2,1,50.0,70.0,no,no,no,no,450000000
